feature,gain
minutes_since_event,205.34328918904066
event_impact,31.121967531740665
sentiment_0_30min,0.0
sentiment_30_60min,0.0
sentiment_today,0.0
sentiment_1_3hr,0.0
has_event_nearby,0.0
hour,0.0
dow,0.0
side_encoded,0.0
is_london,0.0
is_ny,0.0
is_overlap,0.0
entry_body_pct,0.0
entry_upper_wick_pct,0.0
entry_lower_wick_pct,0.0
entry_range_atr,0.0
entry_dist_stop_atr,0.0
atr14,0.0
atr_pct,0.0
rsi14,0.0
rsi30,0.0
macd_hist,0.0
bb_pct,0.0
bb_width,0.0
momentum_3,0.0
momentum_10,0.0
dist_ema20_atr,0.0
dist_ema50_atr,0.0
dist_ema200_atr,0.0
above_ema20,0.0
above_ema50,0.0
above_ema200,0.0
recent_range_atr,0.0
recent_body_atr,0.0
recent_momentum,0.0
atr14_5m,0.0
rsi14_5m,0.0
minutes_since_last,0.0
relevant_wick,0.0
side_x_body,0.0
side_x_relevant_wick,0.0
side_x_rsi,0.0
side_x_macd,0.0
