entry_time,exit_time,side,entry,exit,final_stop,pips
2015-01-07 15:37:00+00:00,2015-01-07 16:32:00+00:00,long,1214.529,1213.3107291097642,1213.3107291097642,-121.82708902357717
2015-01-09 13:14:00+00:00,2015-01-09 13:30:00+00:00,long,1212.562,1210.8547738508016,1210.8547738508016,-170.72261491982772
2015-01-13 13:09:00+00:00,2015-01-13 13:21:00+00:00,long,1240.198,1239.2422277066635,1239.2422277066635,-95.57722933366222
2015-01-13 14:20:00+00:00,2015-01-13 14:25:00+00:00,long,1239.461,1237.9900745511502,1237.9900745511502,-147.09254488498118
2015-01-13 14:33:00+00:00,2015-01-13 15:17:00+00:00,short,1235.98,1235.8368477949623,1235.8368477949623,14.315220503772252
2015-01-15 14:12:00+00:00,2015-01-15 14:28:00+00:00,short,1250.659,1254.405874416313,1254.405874416313,-374.68744163129486
2015-01-15 14:37:00+00:00,2015-01-15 14:59:00+00:00,long,1254.849,1255.630329370061,1255.630329370061,78.13293700610302
2015-01-16 13:06:00+00:00,2015-01-16 14:25:00+00:00,long,1263.107,1265.7884145158132,1265.7884145158132,268.14145158132305
2015-01-16 15:27:00+00:00,2015-01-16 15:36:00+00:00,short,1272.681,1276.3154560165779,1276.3154560165779,-363.4456016577815
2015-01-21 14:37:00+00:00,2015-01-21 15:56:00+00:00,short,1300.977,1289.8591880201045,1289.8591880201045,1111.7811979895578
2015-01-23 13:16:00+00:00,2015-01-23 13:41:00+00:00,short,1295.908,1298.272238137504,1298.272238137504,-236.42381375041168
2015-01-23 14:22:00+00:00,2015-01-23 15:56:00+00:00,short,1296.042,1290.4953352427422,1290.4953352427422,554.6664757257759
2015-01-23 15:59:00+00:00,2015-01-23 16:22:00+00:00,long,1290.701,1290.2800595319466,1290.2800595319466,-42.0940468053459
2015-01-28 13:13:00+00:00,2015-01-28 13:22:00+00:00,long,1292.128,1290.4006140531012,1290.4006140531012,-172.73859468987212
2015-01-28 14:38:00+00:00,2015-01-28 14:40:00+00:00,long,1287.053,1285.3375498966927,1285.3375498966927,-171.54501033073757
2015-02-09 13:15:00+00:00,2015-02-09 13:49:00+00:00,long,1240.369,1238.9718628405383,1238.9718628405383,-139.71371594616357
2015-02-16 13:17:00+00:00,2015-02-16 13:54:00+00:00,long,1233.101,1232.4806163847406,1232.4806163847406,-62.03836152594704
2015-02-16 13:58:00+00:00,2015-02-16 14:01:00+00:00,short,1232.59,1232.99627397998,1232.99627397998,-40.6273979980142
2015-02-16 14:43:00+00:00,2015-02-16 14:55:00+00:00,long,1231.931,1231.1837653324358,1231.1837653324358,-74.72346675642711
