YearMonth,NetPips
2015-01,1413
2015-02,3662
2015-03,-301
2015-04,1406
2015-05,-1285
2015-06,867
2015-07,283
2015-08,298
2015-09,-921
2015-10,-1962
2015-11,-201
2015-12,742
2016-01,955
2016-02,5239
2016-03,-2712
2016-04,-1191
2016-05,-1113
2016-06,882
2016-07,1296
2016-08,-1316
2016-09,571
2016-10,2463
2016-11,-1521
2016-12,2307
2017-01,1542
2017-02,12
2017-03,-2033
2017-04,-1412
2017-05,-191
2017-06,-380
2017-07,1651
2017-08,100
2017-09,-723
2017-10,257
2017-11,850
2017-12,-1401
2018-01,-1848
2018-02,1905
2018-03,-111
2018-04,-552
2018-05,-216
2018-06,-710
2018-07,-269
2018-08,1080
2018-09,105
2018-10,-976
2018-11,757
2018-12,-2079
2019-01,2371
2019-02,883
2019-03,827
2019-04,823
2019-05,75
2019-06,1021
2019-07,1017
2019-08,26
2019-09,4356
2019-10,189
2019-11,2726
2019-12,-1129
2020-01,428
2020-02,4790
2020-03,-1050
2020-04,1458
2020-05,1636
2020-06,4265
2020-07,-44
2020-08,-1953
2020-09,-666
2020-10,-1214
2020-11,-2633
2020-12,602
2021-01,-1150
2021-02,5515
2021-03,-961
2021-04,1111
2021-05,-1663
2021-06,-870
2021-07,-1522
2021-08,652
2021-09,1313
2021-10,4093
2021-11,-1027
2021-12,-3426
2022-01,-3795
2022-02,-1833
2022-03,-886
2022-04,1267
2022-05,-2013
2022-06,3867
2022-07,-2962
2022-08,-309
2022-09,-1017
2022-10,-4941
2022-11,1499
2022-12,7315
2023-01,2675
2023-02,-1814
2023-03,919
2023-04,2369
2023-05,2102
2023-06,1509
2023-07,-37
2023-08,1195
2023-09,1360
2023-10,-2765
2023-11,2412
2023-12,-740
2024-01,1382
2024-02,-1736
2024-03,1868
2024-04,131
2024-05,-1734
2024-06,-4323
2024-07,-3431
2024-08,-3108
2024-09,-1010
2024-10,3102
2024-11,-1984
2024-12,1333
2025-01,-912
2025-02,1387
2025-03,-1118
2025-04,2414
2025-05,-1051
2025-06,-676
2025-07,346
2025-08,2519
2025-09,-339
2025-10,-537
