Weekday,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,13,389.0,3.0,386.0,0.3471502590673575,-1045.0,0.9731369373537956,-2.6863753213367607
Monday,14,288.0,0.0,288.0,0.3402777777777778,2228.0,1.0769842092533084,7.736111111111111
Monday,15,311.0,0.0,311.0,0.38263665594855306,750.0,1.0319774878485546,2.4115755627009645
Tuesday,13,342.0,1.0,341.0,0.33724340175953077,1341.0,1.0337621793096503,3.9210526315789473
Tuesday,14,322.0,0.0,322.0,0.36335403726708076,5222.0,1.1582136581227656,16.217391304347824
Tuesday,15,294.0,0.0,294.0,0.3979591836734694,13053.0,1.5131097920515744,44.39795918367347
Wednesday,13,326.0,0.0,326.0,0.3496932515337423,4490.0,1.132460099713839,13.773006134969325
Wednesday,14,304.0,0.0,304.0,0.3256578947368421,-4262.0,0.8660296105365731,-14.019736842105264
Wednesday,15,305.0,0.0,305.0,0.3475409836065574,-8951.0,0.6820926267935786,-29.347540983606557
Thursday,13,334.0,2.0,332.0,0.3373493975903614,-578.0,0.9845421480530595,-1.7305389221556886
Thursday,14,328.0,1.0,327.0,0.3944954128440367,2073.0,1.0616872489212914,6.320121951219512
Thursday,15,278.0,0.0,278.0,0.3381294964028777,-5499.0,0.79076934784263,-19.780575539568346
Friday,13,316.0,0.0,316.0,0.33860759493670883,11463.0,1.3170778933392344,36.2753164556962
Friday,14,267.0,0.0,267.0,0.3333333333333333,643.0,1.0204010406751698,2.4082397003745317
Friday,15,292.0,0.0,292.0,0.3801369863013699,3132.0,1.117119138433924,10.726027397260275
Saturday,13,7.0,0.0,7.0,0.14285714285714285,-106.0,0.3116883116883117,-15.142857142857142
Sunday,14,1.0,0.0,1.0,0.0,-175.0,0.0,-175.0
Sunday,15,2.0,0.0,2.0,0.5,209.0,3.943661971830986,104.5
