entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Outcome,__kind
2020-02-28 14:25,3227.984626833404,1591.835153731666,short,2020-02-28 14:25:00,2020-02-28,3228,2298,win,top_winner
2022-12-13 13:26,3165.764046690515,1819.937670466905,long,2022-12-13 13:26:00,2022-12-13,3166,3573,win,top_winner
2020-12-07 13:14,3063.41396037933,1864.464099603793,long,2020-12-07 13:14:00,2020-12-07,3063,2648,win,top_winner
2023-04-14 13:57,2730.4993965220547,1995.7749620347795,short,2023-04-14 13:57:00,2023-04-14,2730,3727,win,top_winner
2021-11-30 15:31,2690.873689510522,1775.3612831048947,short,2021-11-30 15:31:00,2021-11-30,2691,3099,win,top_winner
2021-10-13 13:16,2666.069415989909,1792.020684159899,long,2021-10-13 13:16:00,2021-10-13,2666,3033,win,top_winner
2021-02-26 13:57,2556.5960842134245,1735.5340151578655,short,2021-02-26 13:57:00,2021-02-26,2557,2750,win,top_winner
2022-06-10 14:19,2498.805810766476,1861.348048107665,long,2022-06-10 14:19:00,2022-06-10,2499,3358,win,top_winner
2021-02-04 13:24,2408.6818268257502,1791.3332217317425,short,2021-02-04 13:24:00,2021-02-04,2409,2724,win,top_winner
2023-03-10 13:33,2362.909922037147,1862.6990452203715,long,2023-03-10 13:33:00,2023-03-10,2363,3684,win,top_winner
2021-05-18 13:14,-517.8556660728646,1871.0285366607288,short,2021-05-18 13:14:00,2021-05-18,-518,2863,loss,top_loser
2022-03-07 13:04,-517.0834778977905,1982.3991152210224,long,2022-03-07 13:04:00,2022-03-07,-517,3238,loss,top_loser
2021-02-10 15:24,-516.0171338379996,1843.43019133838,short,2021-02-10 15:24:00,2021-02-10,-516,2734,loss,top_loser
2023-10-20 14:18,-515.3773058418665,1991.7337330584187,short,2023-10-20 14:18:00,2023-10-20,-515,3975,loss,top_loser
2022-10-05 14:04,-512.1116595400053,1706.6611565954,short,2022-10-05 14:04:00,2022-10-05,-512,3505,loss,top_loser
2023-05-23 13:54,-512.0034227470796,1972.250034227471,short,2023-05-23 13:54:00,2023-05-23,-512,3766,loss,top_loser
2020-08-13 13:09,-507.09641506903154,1932.1609301506903,short,2020-08-13 13:09:00,2020-08-13,-507,2492,loss,top_loser
2025-03-10 14:36,-505.73196399714107,2907.5372996399715,short,2025-03-10 14:36:00,2025-03-10,-506,4531,loss,top_loser
2023-06-16 14:03,-503.8560823264106,1959.541399176736,long,2023-06-16 14:03:00,2023-06-16,-504,3798,loss,top_loser
2025-09-02 13:34,-503.2164612791348,3502.6221646127915,short,2025-09-02 13:34:00,2025-09-02,-503,4654,loss,top_loser
