YearMonth,NetPips
2015-01,713
2015-02,-488
2015-03,-1502
2015-04,379
2015-05,-661
2015-06,271
2015-07,492
2015-08,-362
2015-09,-481
2015-10,-519
2015-11,-936
2015-12,-710
2016-01,477
2016-02,1947
2016-03,-618
2016-04,-4
2016-05,-161
2016-06,33
2016-07,-286
2016-08,-452
2016-09,-780
2016-10,176
2016-11,-1163
2016-12,677
2017-01,1300
2017-02,360
2017-03,-987
2017-04,-1050
2017-05,-267
2017-06,-108
2017-07,1006
2017-08,94
2017-09,122
2017-10,433
2017-11,129
2017-12,-793
2018-01,-406
2018-02,275
2018-03,-54
2018-04,-929
2018-05,-133
2018-06,-496
2018-07,553
2018-08,-44
2018-09,742
2018-10,-813
2018-11,-232
2018-12,114
2019-01,-6
2019-02,805
2019-03,-14
2019-04,72
2019-05,-159
2019-06,-244
2019-07,1277
2019-08,83
2019-09,-222
2019-10,-564
2019-11,227
2019-12,-214
2020-01,1018
2020-02,302
2020-03,-675
2020-04,-1043
2020-05,177
2020-06,3778
2020-07,-7
2020-08,-306
2020-09,-560
2020-10,-62
2020-11,-695
2020-12,2607
2021-01,-406
2021-02,-922
2021-03,-84
2021-04,290
2021-05,111
2021-06,-231
2021-07,-296
2021-08,713
2021-09,1060
2021-10,-607
2021-11,-2088
2021-12,-1994
2022-01,-1448
2022-02,170
2022-03,968
2022-04,178
2022-05,-1260
2022-06,4214
2022-07,-970
2022-08,763
2022-09,277
2022-10,-1171
2022-11,70
2022-12,-20
2023-01,-876
2023-02,-1244
2023-03,-874
2023-04,575
2023-05,193
2023-06,590
2023-07,42
2023-08,-631
2023-09,-800
2023-10,-818
2023-11,2418
2023-12,-827
2024-01,-710
2024-02,-546
2024-03,435
2024-04,-16
2024-05,-624
2024-06,-767
2024-07,-839
2024-08,-368
2024-09,-723
2024-10,-317
2024-11,-1153
2024-12,-1942
2025-01,-199
2025-02,724
2025-03,-1255
2025-04,934
2025-05,-684
2025-06,388
2025-07,-1978
2025-08,-216
2025-09,-149
