Weekday,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,13,98.0,1.0,97.0,0.31958762886597936,1446.0,1.1362479977386224,14.755102040816327
Monday,14,79.0,0.0,79.0,0.35443037974683544,-1817.0,0.7869871043376319,-23.0
Monday,15,74.0,0.0,74.0,0.36486486486486486,2120.0,1.3796561604584527,28.64864864864865
Tuesday,13,75.0,0.0,75.0,0.29333333333333333,-1887.0,0.7956686518678939,-25.16
Tuesday,14,76.0,0.0,76.0,0.34210526315789475,734.0,1.0941025641025641,9.657894736842104
Tuesday,15,69.0,0.0,69.0,0.391304347826087,2773.0,1.5766271574131836,40.18840579710145
Wednesday,13,73.0,0.0,73.0,0.3698630136986301,-1731.0,0.757902097902098,-23.71232876712329
Wednesday,14,64.0,0.0,64.0,0.265625,-4966.0,0.32937204591492236,-77.59375
Wednesday,15,81.0,0.0,81.0,0.32098765432098764,-3065.0,0.5772996828023721,-37.839506172839506
Thursday,13,87.0,1.0,86.0,0.3488372093023256,-2314.0,0.7595594347464671,-26.597701149425287
Thursday,14,69.0,0.0,69.0,0.391304347826087,1222.0,1.16062039957939,17.71014492753623
Thursday,15,62.0,0.0,62.0,0.3064516129032258,-3026.0,0.5526977087952698,-48.806451612903224
Friday,13,71.0,0.0,71.0,0.23943661971830985,-5811.0,0.38325196348970497,-81.84507042253522
Friday,14,64.0,0.0,64.0,0.296875,706.0,1.084218060360253,11.03125
Friday,15,61.0,0.0,61.0,0.36065573770491804,905.0,1.146677471636953,14.836065573770492
Saturday,13,1.0,0.0,1.0,0.0,-12.0,0.0,-12.0
Sunday,14,1.0,0.0,1.0,0.0,-64.0,0.0,-64.0
Sunday,15,1.0,0.0,1.0,1.0,280.0,inf,280.0
