YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2015-01,8.0,0.0,8.0,0.375,713.0,1.6983349657198825,89.125
2015-02,10.0,0.0,10.0,0.3,-488.0,0.6217054263565891,-48.8
2015-03,17.0,0.0,17.0,0.17647058823529413,-1502.0,0.1916038751345533,-88.3529411764706
2015-04,8.0,0.0,8.0,0.5,379.0,1.9154589371980677,47.375
2015-05,14.0,0.0,14.0,0.21428571428571427,-661.0,0.45952575633687653,-47.214285714285715
2015-06,12.0,0.0,12.0,0.3333333333333333,271.0,1.630232558139535,22.583333333333332
2015-07,14.0,0.0,14.0,0.35714285714285715,492.0,1.3831775700934579,35.142857142857146
2015-08,6.0,0.0,6.0,0.16666666666666666,-362.0,0.34774774774774775,-60.333333333333336
2015-09,14.0,0.0,14.0,0.42857142857142855,-481.0,0.5237623762376238,-34.357142857142854
2015-10,5.0,0.0,5.0,0.0,-519.0,0.0,-103.8
2015-11,12.0,0.0,12.0,0.16666666666666666,-936.0,0.24025974025974026,-78.0
2015-12,7.0,0.0,7.0,0.14285714285714285,-710.0,0.013888888888888888,-101.42857142857143
2016-01,5.0,0.0,5.0,0.6,477.0,3.8392857142857144,95.4
2016-02,6.0,0.0,6.0,0.5,1947.0,7.879858657243816,324.5
2016-03,11.0,0.0,11.0,0.18181818181818182,-618.0,0.2634088200238379,-56.18181818181818
2016-04,6.0,0.0,6.0,0.3333333333333333,-4.0,0.9939393939393939,-0.6666666666666666
2016-05,10.0,0.0,10.0,0.4,-161.0,0.7204861111111112,-16.1
2016-06,8.0,0.0,8.0,0.5,33.0,1.0665322580645162,4.125
2016-07,6.0,0.0,6.0,0.3333333333333333,-286.0,0.5085910652920962,-47.666666666666664
2016-08,9.0,0.0,9.0,0.3333333333333333,-452.0,0.4798619102416571,-50.22222222222222
2016-09,13.0,0.0,13.0,0.3076923076923077,-780.0,0.30294906166219837,-60.0
2016-10,3.0,0.0,3.0,0.6666666666666666,176.0,3.1728395061728394,58.666666666666664
2016-11,14.0,0.0,14.0,0.21428571428571427,-1163.0,0.46870717222476016,-83.07142857142857
2016-12,13.0,0.0,13.0,0.38461538461538464,677.0,1.5636969192339716,52.07692307692308
2017-01,8.0,0.0,8.0,0.875,1300.0,14.402061855670103,162.5
2017-02,8.0,0.0,8.0,0.375,360.0,2.6363636363636362,45.0
2017-03,20.0,0.0,20.0,0.3,-987.0,0.39036442248301423,-49.35
2017-04,13.0,1.0,12.0,0.16666666666666666,-1050.0,0.17452830188679244,-80.76923076923077
