Month,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
January,84.0,0.0,84.0,0.38095238095238093,-543.0,0.9379995432747202,-6.464285714285714
February,78.0,0.0,78.0,0.3717948717948718,1383.0,1.1659865578492559,17.73076923076923
March,108.0,0.0,108.0,0.2777777777777778,-4660.0,0.6139188069594035,-43.148148148148145
April,83.0,1.0,82.0,0.35365853658536583,-614.0,0.9268437984034315,-7.397590361445783
May,108.0,0.0,108.0,0.3148148148148148,-3468.0,0.6602331733124327,-32.111111111111114
June,100.0,0.0,100.0,0.41,7428.0,1.7778010471204189,74.28
July,85.0,0.0,85.0,0.3411764705882353,-1006.0,0.8954479318229058,-11.83529411764706
August,85.0,0.0,85.0,0.3764705882352941,-726.0,0.8966842180162231,-8.541176470588235
September,99.0,0.0,99.0,0.36363636363636365,-1514.0,0.8385755411024629,-15.292929292929292
October,78.0,1.0,77.0,0.24675324675324675,-4262.0,0.44562955254942765,-54.64102564102564
November,105.0,0.0,105.0,0.2857142857142857,-3423.0,0.7288068451909364,-32.6
December,93.0,0.0,93.0,0.26881720430107525,-3102.0,0.757220004695938,-33.354838709677416
