entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Outcome,__kind
2020-12-07 13:14,3063.41396037933,1864.464099603793,long,2020-12-07 13:14:00,2020-12-07,3063,1258,win,top_winner
2022-06-10 14:19,2498.805810766476,1861.348048107665,long,2022-06-10 14:19:00,2022-06-10,2499,1615,win,top_winner
2022-06-16 14:23,1961.1803578846773,1848.8417835788468,long,2022-06-16 14:23:00,2022-06-16,1961,1620,win,top_winner
2016-02-18 14:35,1631.4205663754592,1225.0652056637546,long,2016-02-18 14:35:00,2016-02-18,1631,271,win,top_winner
2015-01-02 15:02,1368.3811540232,1186.595811540232,long,2015-01-02 15:02:00,2015-01-02,1368,3,win,top_winner
2020-06-26 14:26,1358.561648306454,1766.0655964830646,long,2020-06-26 14:26:00,2020-06-26,1359,1161,win,top_winner
2020-06-30 13:29,1340.6193356426684,1782.6461833564267,long,2020-06-30 13:29:00,2020-06-30,1341,1163,win,top_winner
2021-03-12 15:37,1337.1429846082035,1719.761439846082,long,2021-03-12 15:37:00,2021-03-12,1337,1330,win,top_winner
2021-06-14 13:07,1323.6451813585973,1863.326417813586,long,2021-06-14 13:07:00,2021-06-14,1324,1388,win,top_winner
2022-03-15 14:48,1317.1059818001822,1926.0810898180016,long,2022-03-15 14:48:00,2022-03-15,1317,1550,win,top_winner
2021-12-03 13:32,-499.05060480252814,1769.6695239519747,long,2021-12-03 13:32:00,2021-12-03,-499,1491,loss,top_loser
2020-12-21 14:35,-497.8455949786621,1880.371524050213,long,2020-12-21 14:35:00,2020-12-21,-498,1262,loss,top_loser
2022-05-12 14:16,-492.6020411387526,1838.2739295886124,long,2022-05-12 14:16:00,2022-05-12,-493,1594,loss,top_loser
2020-11-16 13:04,-490.144757139592,1874.098552428604,long,2020-11-16 13:04:00,2020-11-16,-490,1231,loss,top_loser
2020-09-21 13:34,-483.519810163898,1913.704841898361,long,2020-09-21 13:34:00,2020-09-21,-484,1196,loss,top_loser
2025-04-24 15:35,-483.7718637118087,3333.662281362882,long,2025-04-24 15:35:00,2025-04-24,-484,2149,loss,top_loser
2020-08-13 15:11,-463.2237174961574,1944.2177428250384,long,2020-08-13 15:11:00,2020-08-13,-463,1180,loss,top_loser
2024-05-24 14:05,-462.2188401284802,2337.807741598715,long,2024-05-24 14:05:00,2024-05-24,-462,2030,loss,top_loser
2021-12-10 13:35,-458.1542927246346,1776.5484570727538,long,2021-12-10 13:35:00,2021-12-10,-458,1499,loss,top_loser
2024-05-22 13:58,-443.6840909514558,2407.1632590904856,long,2024-05-22 13:58:00,2024-05-22,-444,2026,loss,top_loser
