YearMonth,NetPips
2015-01,1283
2015-02,3254
2015-03,-214
2015-04,347
2015-05,-358
2015-06,270
2015-07,329
2015-08,-287
2015-09,-723
2015-10,-1064
2015-11,262
2015-12,-1124
2016-01,662
2016-02,1783
2016-03,-951
2016-04,-394
2016-05,-420
2016-06,22
2016-07,-337
2016-08,-764
2016-09,-1129
2016-10,1737
2016-11,-812
2016-12,1342
2017-01,469
2017-02,-59
2017-03,-1044
2017-04,-752
2017-05,687
2017-06,150
2017-07,2188
2017-08,-229
2017-09,-120
2017-10,712
2017-11,1049
2017-12,-944
2018-01,-1227
2018-02,-309
2018-03,99
2018-04,-1696
2018-05,-267
2018-06,-615
2018-07,325
2018-08,430
2018-09,359
2018-10,-948
2018-11,94
2018-12,-223
2019-01,-327
2019-02,720
2019-03,485
2019-04,664
2019-05,-572
2019-06,-264
2019-07,1366
2019-08,-521
2019-09,389
2019-10,-460
2019-11,2562
2019-12,-378
2020-01,-361
2020-02,4525
2020-03,-143
2020-04,-19
2020-05,536
2020-06,3912
2020-07,-1080
2020-08,247
2020-09,-1810
2020-10,-497
2020-11,-1807
2020-12,1161
2021-01,-1461
2021-02,4658
2021-03,-6
2021-04,941
2021-05,-1256
2021-06,-1810
2021-07,199
2021-08,689
2021-09,729
2021-10,-434
2021-11,-2603
2021-12,-3264
2022-01,-2967
2022-02,704
2022-03,657
2022-04,1478
2022-05,-2644
2022-06,3768
2022-07,-2154
2022-08,734
2022-09,-92
2022-10,-2621
2022-11,386
2022-12,-242
2023-01,-259
2023-02,-2095
2023-03,129
2023-04,419
2023-05,247
2023-06,963
2023-07,231
2023-08,291
2023-09,1892
2023-10,-1657
2023-11,3213
2023-12,-1402
2024-01,1368
2024-02,-955
2024-03,1064
2024-04,633
2024-05,-1435
2024-06,-3358
2024-07,-1992
2024-08,-1348
2024-09,-506
2024-10,-1031
2024-11,-1833
2024-12,-1951
2025-01,-924
2025-02,1126
2025-03,-1663
2025-04,3276
2025-05,18
2025-06,-38
2025-07,-2205
2025-08,-473
2025-09,-575
