Weekday,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,13,184.0,1.0,183.0,0.366120218579235,3763.0,1.2166129403638037,20.45108695652174
Monday,14,146.0,0.0,146.0,0.3150684931506849,-1450.0,0.9073364008179959,-9.931506849315069
Monday,15,148.0,0.0,148.0,0.38513513513513514,2714.0,1.22543400614669,18.33783783783784
Tuesday,13,167.0,0.0,167.0,0.3473053892215569,-1885.0,0.9007842518027265,-11.2874251497006
Tuesday,14,151.0,0.0,151.0,0.3443708609271523,1595.0,1.106996712953646,10.562913907284768
Tuesday,15,138.0,0.0,138.0,0.42028985507246375,6917.0,1.6719448222265398,50.1231884057971
Wednesday,13,152.0,0.0,152.0,0.3355263157894737,-3488.0,0.7937071208895198,-22.94736842105263
Wednesday,14,137.0,0.0,137.0,0.31386861313868614,-4483.0,0.684673278469438,-32.722627737226276
Wednesday,15,147.0,0.0,147.0,0.35374149659863946,-5382.0,0.5895676046671242,-36.61224489795919
Thursday,13,174.0,1.0,173.0,0.3583815028901734,-1986.0,0.8964546402502607,-11.413793103448276
Thursday,14,140.0,0.0,140.0,0.37857142857142856,-1459.0,0.903230085560788,-10.42142857142857
Thursday,15,132.0,0.0,132.0,0.2803030303030303,-5674.0,0.6005631819781767,-42.984848484848484
Friday,13,138.0,0.0,138.0,0.2898550724637681,-2080.0,0.8838702473340405,-15.072463768115941
Friday,14,130.0,0.0,130.0,0.35384615384615387,3518.0,1.225036781168042,27.06153846153846
Friday,15,127.0,0.0,127.0,0.3700787401574803,930.0,1.0755299277186714,7.322834645669292
Saturday,13,2.0,0.0,2.0,0.5,36.0,4.0,18.0
Sunday,14,1.0,0.0,1.0,0.0,-64.0,0.0,-64.0
Sunday,15,2.0,0.0,2.0,0.5,208.0,3.888888888888889,104.0
