entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Outcome,__kind
2020-02-28 14:25,3227.984626833404,1591.835153731666,short,2020-02-28 14:25:00,2020-02-28,3228,1107,win,top_winner
2020-12-07 13:14,3063.41396037933,1864.464099603793,long,2020-12-07 13:14:00,2020-12-07,3063,1258,win,top_winner
2021-02-26 13:57,2556.5960842134245,1735.5340151578655,short,2021-02-26 13:57:00,2021-02-26,2557,1312,win,top_winner
2022-06-10 14:19,2498.805810766476,1861.348048107665,long,2022-06-10 14:19:00,2022-06-10,2499,1615,win,top_winner
2021-02-04 13:24,2408.6818268257502,1791.3332217317425,short,2021-02-04 13:24:00,2021-02-04,2409,1297,win,top_winner
2025-04-08 15:47,2250.160297240791,2983.148297027592,short,2025-04-08 15:47:00,2025-04-08,2250,2148,win,top_winner
2022-06-16 14:23,1961.1803578846773,1848.8417835788468,long,2022-06-16 14:23:00,2022-06-16,1961,1620,win,top_winner
2023-09-29 13:29,1954.5311904844311,1855.244728095156,short,2023-09-29 13:29:00,2023-09-29,1955,1909,win,top_winner
2019-11-07 14:52,1873.2487092827116,1465.4625129071728,short,2019-11-07 14:52:00,2019-11-07,1873,1044,win,top_winner
2015-02-06 13:10,1746.7242518701596,1243.7717574812984,short,2015-02-06 13:10:00,2015-02-06,1747,22,win,top_winner
2023-05-23 13:54,-512.0034227470796,1972.250034227471,short,2023-05-23 13:54:00,2023-05-23,-512,1814,loss,top_loser
2020-08-13 13:09,-507.09641506903154,1932.1609301506903,short,2020-08-13 13:09:00,2020-08-13,-507,1178,loss,top_loser
2025-03-10 14:36,-505.73196399714107,2907.5372996399715,short,2025-03-10 14:36:00,2025-03-10,-506,2143,loss,top_loser
2021-12-03 13:32,-499.05060480252814,1769.6695239519747,long,2021-12-03 13:32:00,2021-12-03,-499,1491,loss,top_loser
2020-12-21 14:35,-497.8455949786621,1880.371524050213,long,2020-12-21 14:35:00,2020-12-21,-498,1262,loss,top_loser
2022-05-12 14:16,-492.6020411387526,1838.2739295886124,long,2022-05-12 14:16:00,2022-05-12,-493,1594,loss,top_loser
2020-11-16 13:04,-490.144757139592,1874.098552428604,long,2020-11-16 13:04:00,2020-11-16,-490,1231,loss,top_loser
2020-09-21 13:34,-483.519810163898,1913.704841898361,long,2020-09-21 13:34:00,2020-09-21,-484,1196,loss,top_loser
2025-04-24 15:35,-483.7718637118087,3333.662281362882,long,2025-04-24 15:35:00,2025-04-24,-484,2149,loss,top_loser
2020-09-22 13:56,-473.12531551683605,1911.4912631551683,short,2020-09-22 13:56:00,2020-09-22,-473,1197,loss,top_loser
