Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
01-02-2015,XAUUSD,Profit,154,Downtrend,,,
01-02-2015,XAUUSD,Loss,-183,Downtrend,,,
01-05-2015,XAUUSD,Profit,92,Downtrend,,,
01-08-2015,XAUUSD,Loss,-108,Downtrend,,,
01-14-2015,XAUUSD,Loss,-319,Downtrend,,,
01-22-2015,XAUUSD,Profit,45,Downtrend,,,
01-26-2015,XAUUSD,Loss,-117,Downtrend,,,
01-27-2015,XAUUSD,Loss,-101,Downtrend,,,
01-29-2015,XAUUSD,Loss,-54,Downtrend,,,
01-29-2015,XAUUSD,Profit,1355,Downtrend,,,
01-30-2015,XAUUSD,Loss,-194,Downtrend,,,
02-04-2015,XAUUSD,Loss,-252,Downtrend,,,
02-06-2015,XAUUSD,Profit,1747,Downtrend,,,
02-11-2015,XAUUSD,Profit,145,Downtrend,,,
02-12-2015,XAUUSD,Profit,141,Downtrend,,,
02-13-2015,XAUUSD,Loss,-135,Downtrend,,,
02-17-2015,XAUUSD,Profit,1350,Downtrend,,,
02-18-2015,XAUUSD,Loss,-79,Downtrend,,,
02-18-2015,XAUUSD,Profit,786,Downtrend,,,
02-20-2015,XAUUSD,Loss,-18,Downtrend,,,
02-23-2015,XAUUSD,Profit,413,Downtrend,,,
02-24-2015,XAUUSD,Loss,-111,Downtrend,,,
02-27-2015,XAUUSD,Loss,-19,Downtrend,,,
02-27-2015,XAUUSD,Loss,-226,Downtrend,,,
03-03-2015,XAUUSD,Profit,17,Downtrend,,,
03-04-2015,XAUUSD,Profit,201,Downtrend,,,
03-05-2015,XAUUSD,Loss,-165,Downtrend,,,
03-06-2015,XAUUSD,Loss,-67,Downtrend,,,
03-06-2015,XAUUSD,Loss,-157,Downtrend,,,
03-10-2015,XAUUSD,Profit,57,Downtrend,,,
03-10-2015,XAUUSD,Profit,266,Downtrend,,,
03-11-2015,XAUUSD,Profit,490,Downtrend,,,
03-12-2015,XAUUSD,Profit,168,Downtrend,,,
03-13-2015,XAUUSD,Loss,-64,Downtrend,,,
03-13-2015,XAUUSD,Profit,265,Downtrend,,,
03-16-2015,XAUUSD,Profit,388,Downtrend,,,
03-17-2015,XAUUSD,Profit,197,Downtrend,,,
03-30-2015,XAUUSD,Loss,-77,Downtrend,,,
03-30-2015,XAUUSD,Loss,-74,Downtrend,,,
03-30-2015,XAUUSD,Loss,-157,Downtrend,,,
04-07-2015,XAUUSD,Loss,-143,Downtrend,,,
04-08-2015,XAUUSD,Profit,172,Downtrend,,,
04-09-2015,XAUUSD,Loss,-192,Downtrend,,,
04-09-2015,XAUUSD,Loss,-37,Downtrend,,,
04-13-2015,XAUUSD,Profit,297,Downtrend,,,
04-14-2015,XAUUSD,Profit,227,Downtrend,,,
04-20-2015,XAUUSD,Loss,-143,Downtrend,,,
04-23-2015,XAUUSD,Loss,-69,Downtrend,,,
04-24-2015,XAUUSD,Loss,-144,Downtrend,,,
