Date,total_win_pips,trades,max_single_win
2015-01-29,1355,1,1355
2015-02-06,1747,1,1747
2015-02-17,1350,1,1350
2015-02-18,786,1,786
2015-11-17,884,1,884
2016-07-12,805,1,805
2016-10-24,716,1,716
2017-05-01,1094,1,1094
2017-11-03,900,1,900
2019-03-01,924,1,924
2019-09-30,1392,1,1392
2019-11-07,1873,1,1873
2020-02-28,3228,1,3228
2020-04-28,1018,1,1018
2020-05-11,890,1,890
2020-08-10,989,1,989
2020-11-11,878,1,878
2021-01-15,970,1,970
2021-02-02,727,1,727
2021-02-04,2409,1,2409
2021-02-16,847,1,847
2021-02-17,981,1,981
2021-02-26,2557,1,2557
2021-03-25,767,1,767
2021-03-29,1155,1,1155
2021-04-29,1272,1,1272
2022-01-26,758,1,758
2022-02-28,1501,1,1501
2022-03-22,863,1,863
2022-04-22,731,1,731
2022-06-30,726,1,726
2023-02-14,862,1,862
2023-03-07,1017,1,1017
2023-03-21,966,1,966
2023-05-16,955,1,955
2023-06-27,975,1,975
2023-09-29,1955,1,1955
2023-11-01,1056,1,1056
2023-12-08,935,1,935
2024-01-17,854,1,854
2024-04-30,948,1,948
2024-09-03,725,1,725
2025-04-08,2250,1,2250
2025-05-28,702,1,702
2025-08-08,764,1,764
