Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
2015-01-29,XAUUSD,Profit,1355,Downtrend,,,
2015-02-06,XAUUSD,Profit,1747,Downtrend,,,
2015-02-17,XAUUSD,Profit,1350,Downtrend,,,
2015-02-18,XAUUSD,Profit,786,Downtrend,,,
2015-11-17,XAUUSD,Profit,884,Downtrend,,,
2016-07-12,XAUUSD,Profit,805,Downtrend,,,
2016-10-24,XAUUSD,Profit,716,Downtrend,,,
2017-05-01,XAUUSD,Profit,1094,Downtrend,,,
2017-11-03,XAUUSD,Profit,900,Downtrend,,,
2019-03-01,XAUUSD,Profit,924,Downtrend,,,
2019-09-30,XAUUSD,Profit,1392,Downtrend,,,
2019-11-07,XAUUSD,Profit,1873,Downtrend,,,
2020-02-28,XAUUSD,Profit,3228,Downtrend,,,
2020-04-28,XAUUSD,Profit,1018,Downtrend,,,
2020-05-11,XAUUSD,Profit,890,Downtrend,,,
2020-08-10,XAUUSD,Profit,989,Downtrend,,,
2020-11-11,XAUUSD,Profit,878,Downtrend,,,
2021-01-15,XAUUSD,Profit,970,Downtrend,,,
2021-02-02,XAUUSD,Profit,727,Downtrend,,,
2021-02-04,XAUUSD,Profit,2409,Downtrend,,,
2021-02-16,XAUUSD,Profit,847,Downtrend,,,
2021-02-17,XAUUSD,Profit,981,Downtrend,,,
2021-02-26,XAUUSD,Profit,2557,Downtrend,,,
2021-03-25,XAUUSD,Profit,767,Downtrend,,,
2021-03-29,XAUUSD,Profit,1155,Downtrend,,,
2021-04-29,XAUUSD,Profit,1272,Downtrend,,,
2022-01-26,XAUUSD,Profit,758,Downtrend,,,
2022-02-28,XAUUSD,Profit,1501,Downtrend,,,
2022-03-22,XAUUSD,Profit,863,Downtrend,,,
2022-04-22,XAUUSD,Profit,731,Downtrend,,,
2022-06-30,XAUUSD,Profit,726,Downtrend,,,
2023-02-14,XAUUSD,Profit,862,Downtrend,,,
2023-03-07,XAUUSD,Profit,1017,Downtrend,,,
2023-03-21,XAUUSD,Profit,966,Downtrend,,,
2023-05-16,XAUUSD,Profit,955,Downtrend,,,
2023-06-27,XAUUSD,Profit,975,Downtrend,,,
2023-09-29,XAUUSD,Profit,1955,Downtrend,,,
2023-11-01,XAUUSD,Profit,1056,Downtrend,,,
2023-12-08,XAUUSD,Profit,935,Downtrend,,,
2024-01-17,XAUUSD,Profit,854,Downtrend,,,
2024-04-30,XAUUSD,Profit,948,Downtrend,,,
2024-09-03,XAUUSD,Profit,725,Downtrend,,,
2025-04-08,XAUUSD,Profit,2250,Downtrend,,,
2025-05-28,XAUUSD,Profit,702,Downtrend,,,
2025-08-08,XAUUSD,Profit,764,Downtrend,,,
