YearMonth,NetPips
2015-01,570
2015-02,3742
2015-03,1288
2015-04,-32
2015-05,303
2015-06,-1
2015-07,-163
2015-08,75
2015-09,-242
2015-10,-545
2015-11,1198
2015-12,-414
2016-01,185
2016-02,-164
2016-03,-333
2016-04,-390
2016-05,-259
2016-06,-11
2016-07,-51
2016-08,-312
2016-09,-349
2016-10,1561
2016-11,351
2016-12,665
2017-01,-831
2017-02,-419
2017-03,-57
2017-04,298
2017-05,954
2017-06,258
2017-07,1182
2017-08,-323
2017-09,-242
2017-10,279
2017-11,920
2017-12,-151
2018-01,-821
2018-02,-584
2018-03,153
2018-04,-767
2018-05,-134
2018-06,-119
2018-07,-228
2018-08,474
2018-09,-383
2018-10,-135
2018-11,326
2018-12,-337
2019-01,-321
2019-02,-85
2019-03,499
2019-04,592
2019-05,-413
2019-06,-20
2019-07,89
2019-08,-604
2019-09,611
2019-10,104
2019-11,2335
2019-12,-164
2020-01,-1379
2020-02,4223
2020-03,532
2020-04,1024
2020-05,359
2020-06,134
2020-07,-1073
2020-08,553
2020-09,-1250
2020-10,-435
2020-11,-1112
2020-12,-1446
2021-01,-1055
2021-02,5580
2021-03,78
2021-04,651
2021-05,-1367
2021-06,-1579
2021-07,495
2021-08,-24
2021-09,-331
2021-10,173
2021-11,-515
2021-12,-1270
2022-01,-1519
2022-02,534
2022-03,-311
2022-04,1300
2022-05,-1384
2022-06,-446
2022-07,-1184
2022-08,-29
2022-09,-369
2022-10,-1450
2022-11,316
2022-12,-222
2023-01,617
2023-02,-851
2023-03,1003
2023-04,-156
2023-05,54
2023-06,373
2023-07,189
2023-08,922
2023-09,2692
2023-10,-839
2023-11,795
2023-12,-575
2024-01,2078
2024-02,-409
2024-03,629
2024-04,649
2024-05,-811
2024-06,-2591
2024-07,-1153
2024-08,-980
2024-09,217
2024-10,-714
2024-11,-680
2024-12,-9
2025-01,-725
2025-02,402
2025-03,-408
2025-04,2342
2025-05,702
2025-06,-426
2025-07,-227
2025-08,-257
2025-09,-426
