YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2015-01,11.0,0.0,11.0,0.36363636363636365,570.0,1.529739776951673,51.81818181818182
2015-02,13.0,0.0,13.0,0.46153846153846156,3742.0,5.454761904761905,287.84615384615387
2015-03,16.0,0.0,16.0,0.5625,1288.0,2.6925098554533506,80.5
2015-04,9.0,0.0,9.0,0.3333333333333333,-32.0,0.9560439560439561,-3.5555555555555554
2015-05,8.0,0.0,8.0,0.625,303.0,1.6824324324324325,37.875
2015-06,13.0,0.0,13.0,0.3076923076923077,-1.0,0.9985422740524781,-0.07692307692307693
2015-07,14.0,0.0,14.0,0.42857142857142855,-163.0,0.8371628371628371,-11.642857142857142
2015-08,3.0,0.0,3.0,0.3333333333333333,75.0,1.2516778523489933,25.0
2015-09,9.0,0.0,9.0,0.2222222222222222,-242.0,0.5071283095723014,-26.88888888888889
2015-10,9.0,0.0,9.0,0.3333333333333333,-545.0,0.3136020151133501,-60.55555555555556
2015-11,13.0,0.0,13.0,0.5384615384615384,1198.0,3.0,92.15384615384616
2015-12,12.0,0.0,12.0,0.4166666666666667,-414.0,0.5135135135135135,-34.5
2016-01,5.0,0.0,5.0,0.6,185.0,1.7489878542510122,37.0
2016-02,2.0,0.0,2.0,0.0,-164.0,0.0,-82.0
2016-03,6.0,0.0,6.0,0.16666666666666666,-333.0,0.5943970767356882,-55.5
2016-04,8.0,0.0,8.0,0.5,-390.0,0.3877551020408163,-48.75
2016-05,12.0,0.0,12.0,0.3333333333333333,-259.0,0.8238095238095238,-21.583333333333332
2016-06,6.0,0.0,6.0,0.3333333333333333,-11.0,0.9755011135857461,-1.8333333333333333
2016-07,10.0,0.0,10.0,0.3,-51.0,0.9528650646950092,-5.1
2016-08,7.0,0.0,7.0,0.2857142857142857,-312.0,0.2641509433962264,-44.57142857142857
2016-09,6.0,0.0,6.0,0.3333333333333333,-349.0,0.4114671163575042,-58.166666666666664
2016-10,10.0,0.0,10.0,0.5,1561.0,4.664319248826291,156.1
2016-11,10.0,0.0,10.0,0.4,351.0,1.4743243243243243,35.1
2016-12,11.0,0.0,11.0,0.5454545454545454,665.0,2.1666666666666665,60.45454545454545
2017-01,6.0,0.0,6.0,0.0,-831.0,0.0,-138.5
2017-02,6.0,0.0,6.0,0.3333333333333333,-419.0,0.13070539419087138,-69.83333333333333
2017-03,10.0,0.0,10.0,0.4,-57.0,0.8920454545454546,-5.7
2017-04,13.0,0.0,13.0,0.38461538461538464,298.0,1.2935960591133004,22.923076923076923
