entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Outcome,__kind
2020-02-28 14:25,3227.984626833404,1591.835153731666,short,2020-02-28 14:25:00,2020-02-28,3228,541,win,top_winner
2021-02-26 13:57,2556.5960842134245,1735.5340151578655,short,2021-02-26 13:57:00,2021-02-26,2557,651,win,top_winner
2021-02-04 13:24,2408.6818268257502,1791.3332217317425,short,2021-02-04 13:24:00,2021-02-04,2409,641,win,top_winner
2025-04-08 15:47,2250.160297240791,2983.148297027592,short,2025-04-08 15:47:00,2025-04-08,2250,1083,win,top_winner
2023-09-29 13:29,1954.5311904844311,1855.244728095156,short,2023-09-29 13:29:00,2023-09-29,1955,964,win,top_winner
2019-11-07 14:52,1873.2487092827116,1465.4625129071728,short,2019-11-07 14:52:00,2019-11-07,1873,513,win,top_winner
2015-02-06 13:10,1746.7242518701596,1243.7717574812984,short,2015-02-06 13:10:00,2015-02-06,1747,12,win,top_winner
2022-02-28 15:38,1500.6879313866875,1896.103110686133,short,2022-02-28 15:38:00,2022-02-28,1501,771,win,top_winner
2019-09-30 14:17,1392.3826327604502,1469.6541736723957,short,2019-09-30 14:17:00,2019-09-30,1392,500,win,top_winner
2015-01-29 15:05,1354.7011014531336,1256.6519889854687,short,2015-01-29 15:05:00,2015-01-29,1355,9,win,top_winner
2023-05-23 13:54,-512.0034227470796,1972.250034227471,short,2023-05-23 13:54:00,2023-05-23,-512,917,loss,top_loser
2020-08-13 13:09,-507.09641506903154,1932.1609301506903,short,2020-08-13 13:09:00,2020-08-13,-507,577,loss,top_loser
2025-03-10 14:36,-505.73196399714107,2907.5372996399715,short,2025-03-10 14:36:00,2025-03-10,-506,1081,loss,top_loser
2020-09-22 13:56,-473.12531551683605,1911.4912631551683,short,2020-09-22 13:56:00,2020-09-22,-473,587,loss,top_loser
2022-06-30 13:18,-465.3509631892348,1820.8335596318925,short,2022-06-30 13:18:00,2022-06-30,-465,818,loss,top_loser
2023-12-08 13:32,-456.9328285613437,2023.1693082856132,short,2023-12-08 13:32:00,2023-12-08,-457,979,loss,top_loser
2023-12-08 15:07,-444.5675569172408,2012.9556855691724,short,2023-12-08 15:07:00,2023-12-08,-445,981,loss,top_loser
2020-10-15 14:04,-443.92494260494,1898.3192494260493,short,2020-10-15 14:04:00,2020-10-15,-444,597,loss,top_loser
2023-02-10 15:00,-443.64492429656366,1864.5664492429655,short,2023-02-10 15:00:00,2023-02-10,-444,879,loss,top_loser
2022-06-24 13:58,-442.9223410373425,1826.549223410373,short,2022-06-24 13:58:00,2022-06-24,-443,815,loss,top_loser
