Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
01-07-2015,XAUUSD,Loss,-122,Uptrend,,,
01-09-2015,XAUUSD,Loss,-171,Uptrend,,,
01-13-2015,XAUUSD,Loss,-96,Uptrend,,,
01-13-2015,XAUUSD,Loss,-147,Uptrend,,,
01-15-2015,XAUUSD,Profit,78,Uptrend,,,
01-16-2015,XAUUSD,Profit,268,Uptrend,,,
01-23-2015,XAUUSD,Loss,-42,Uptrend,,,
01-28-2015,XAUUSD,Loss,-173,Uptrend,,,
01-28-2015,XAUUSD,Loss,-172,Uptrend,,,
02-09-2015,XAUUSD,Loss,-140,Uptrend,,,
02-16-2015,XAUUSD,Loss,-62,Uptrend,,,
02-16-2015,XAUUSD,Loss,-75,Uptrend,,,
02-16-2015,XAUUSD,Profit,77,Uptrend,,,
03-19-2015,XAUUSD,Loss,-38,Uptrend,,,
03-19-2015,XAUUSD,Loss,-191,Uptrend,,,
03-20-2015,XAUUSD,Profit,806,Uptrend,,,
03-20-2015,XAUUSD,Profit,158,Uptrend,,,
03-23-2015,XAUUSD,Loss,-118,Uptrend,,,
03-24-2015,XAUUSD,Profit,3,Uptrend,,,
03-26-2015,XAUUSD,Loss,-160,Uptrend,,,
03-27-2015,XAUUSD,Loss,-226,Uptrend,,,
03-27-2015,XAUUSD,Loss,-83,Uptrend,,,
04-02-2015,XAUUSD,Loss,-67,Uptrend,,,
04-02-2015,XAUUSD,Profit,73,Uptrend,,,
04-06-2015,XAUUSD,Loss,-121,Uptrend,,,
04-10-2015,XAUUSD,Loss,-134,Uptrend,,,
04-17-2015,XAUUSD,Profit,127,Uptrend,,,
04-21-2015,XAUUSD,Loss,-54,Uptrend,,,
04-22-2015,XAUUSD,Loss,-130,Uptrend,,,
04-27-2015,XAUUSD,Loss,-152,Uptrend,,,
04-27-2015,XAUUSD,Profit,1488,Uptrend,,,
04-29-2015,XAUUSD,Loss,-150,Uptrend,,,
05-04-2015,XAUUSD,Profit,53,Uptrend,,,
05-04-2015,XAUUSD,Profit,4,Uptrend,,,
05-05-2015,XAUUSD,Loss,-193,Uptrend,,,
05-05-2015,XAUUSD,Loss,-121,Uptrend,,,
05-12-2015,XAUUSD,Loss,-185,Uptrend,,,
05-13-2015,XAUUSD,Loss,-28,Uptrend,,,
05-18-2015,XAUUSD,Profit,151,Uptrend,,,
05-22-2015,XAUUSD,Loss,-140,Uptrend,,,
06-03-2015,XAUUSD,Loss,-189,Uptrend,,,
06-09-2015,XAUUSD,Loss,-99,Uptrend,,,
06-15-2015,XAUUSD,Profit,71,Uptrend,,,
06-15-2015,XAUUSD,Profit,539,Uptrend,,,
06-18-2015,XAUUSD,Profit,56,Uptrend,,,
06-19-2015,XAUUSD,Profit,120,Uptrend,,,
07-23-2015,XAUUSD,Loss,-46,Uptrend,,,
08-04-2015,XAUUSD,Loss,-117,Uptrend,,,
08-04-2015,XAUUSD,Loss,-40,Uptrend,,,
08-07-2015,XAUUSD,Profit,956,Uptrend,,,
08-12-2015,XAUUSD,Loss,-175,Uptrend,,,
08-17-2015,XAUUSD,Loss,-130,Uptrend,,,
08-17-2015,XAUUSD,Loss,-21,Uptrend,,,
08-18-2015,XAUUSD,Profit,262,Uptrend,,,
08-19-2015,XAUUSD,Profit,173,Uptrend,,,
09-02-2015,XAUUSD,Loss,-6,Uptrend,,,
09-08-2015,XAUUSD,Loss,-98,Uptrend,,,
09-17-2015,XAUUSD,Profit,9,Uptrend,,,
10-07-2015,XAUUSD,Loss,-219,Uptrend,,,
10-07-2015,XAUUSD,Profit,198,Uptrend,,,
10-09-2015,XAUUSD,Profit,346,Uptrend,,,
10-12-2015,XAUUSD,Loss,-233,Uptrend,,,
10-14-2015,XAUUSD,Profit,186,Uptrend,,,
10-15-2015,XAUUSD,Loss,-67,Uptrend,,,
10-15-2015,XAUUSD,Loss,-274,Uptrend,,,
10-21-2015,XAUUSD,Loss,-62,Uptrend,,,
10-26-2015,XAUUSD,Loss,-213,Uptrend,,,
10-26-2015,XAUUSD,Loss,-213,Uptrend,,,
10-27-2015,XAUUSD,Loss,0,Uptrend,,,
11-09-2015,XAUUSD,Loss,-55,Uptrend,,,
11-13-2015,XAUUSD,Loss,-397,Uptrend,,,
11-13-2015,XAUUSD,Loss,-45,Uptrend,,,
11-20-2015,XAUUSD,Loss,-1,Uptrend,,,
12-01-2015,XAUUSD,Loss,-117,Uptrend,,,
12-04-2015,XAUUSD,Profit,1609,Uptrend,,,
12-09-2015,XAUUSD,Loss,-170,Uptrend,,,
12-21-2015,XAUUSD,Profit,582,Uptrend,,,
12-22-2015,XAUUSD,Loss,-38,Uptrend,,,
12-22-2015,XAUUSD,Loss,-104,Uptrend,,,
01-04-2016,XAUUSD,Profit,443,Uptrend,,,
01-05-2016,XAUUSD,Loss,-232,Uptrend,,,
01-05-2016,XAUUSD,Loss,-160,Uptrend,,,
01-06-2016,XAUUSD,Profit,200,Uptrend,,,
01-21-2016,XAUUSD,Loss,-242,Uptrend,,,
01-25-2016,XAUUSD,Profit,82,Uptrend,,,
01-27-2016,XAUUSD,Loss,-111,Uptrend,,,
01-28-2016,XAUUSD,Loss,-21,Uptrend,,,
02-01-2016,XAUUSD,Profit,293,Uptrend,,,
02-02-2016,XAUUSD,Profit,129,Uptrend,,,
02-03-2016,XAUUSD,Loss,-185,Uptrend,,,
02-03-2016,XAUUSD,Profit,676,Uptrend,,,
02-04-2016,XAUUSD,Loss,-220,Uptrend,,,
02-08-2016,XAUUSD,Profit,482,Uptrend,,,
