Date,total_win_pips,trades,max_single_win
2015-03-20,806,1,806
2015-04-27,1488,1,1488
2015-08-07,956,1,956
2015-12-04,1609,1,1609
2016-02-11,1470,1,1470
2016-02-24,1146,1,1146
2016-09-06,1145,1,1145
2016-12-29,952,1,952
2017-11-17,798,1,798
2018-02-14,1813,1,1813
2018-04-11,744,1,744
2019-01-25,1241,1,1241
2019-09-03,1208,1,1208
2019-10-03,929,1,929
2019-12-12,741,1,741
2020-02-18,1159,1,1159
2020-04-13,1397,1,1397
2020-05-14,1058,1,1058
2020-06-01,719,1,719
2020-07-22,962,1,962
2020-07-23,873,1,873
2020-11-05,1123,1,1123
2020-12-02,883,1,883
2020-12-17,1055,1,1055
2021-01-20,1781,1,1781
2021-03-09,849,1,849
2021-05-17,1648,1,1648
2021-06-23,822,1,822
2021-10-13,2666,1,2666
2021-11-05,822,1,822
2022-12-02,1138,1,1138
2022-12-09,780,1,780
2022-12-13,3166,1,3166
2022-12-20,977,1,977
2022-12-27,1802,1,1802
2023-01-13,1019,1,1019
2023-03-10,2363,1,2363
2023-03-17,811,1,811
2023-05-04,1485,1,1485
2023-07-18,1179,1,1179
2023-11-28,893,1,893
2023-12-19,1064,1,1064
2024-03-04,897,1,897
2024-06-06,1023,1,1023
2024-10-01,1040,1,1040
2024-12-11,913,1,913
2024-12-26,834,1,834
2025-02-03,1008,1,1008
2025-08-28,760,1,760
2025-08-29,1422,1,1422
2025-09-22,1640,1,1640
2025-09-23,740,1,740
2025-09-29,717,1,717
