Date,Market,Result,Pip,Trend,Price 13:00,Price 16:00,Open Price
2015-03-20,XAUUSD,Profit,806,Uptrend,,,
2015-04-27,XAUUSD,Profit,1488,Uptrend,,,
2015-08-07,XAUUSD,Profit,956,Uptrend,,,
2015-12-04,XAUUSD,Profit,1609,Uptrend,,,
2016-02-11,XAUUSD,Profit,1470,Uptrend,,,
2016-02-24,XAUUSD,Profit,1146,Uptrend,,,
2016-09-06,XAUUSD,Profit,1145,Uptrend,,,
2016-12-29,XAUUSD,Profit,952,Uptrend,,,
2017-11-17,XAUUSD,Profit,798,Uptrend,,,
2018-02-14,XAUUSD,Profit,1813,Uptrend,,,
2018-04-11,XAUUSD,Profit,744,Uptrend,,,
2019-01-25,XAUUSD,Profit,1241,Uptrend,,,
2019-09-03,XAUUSD,Profit,1208,Uptrend,,,
2019-10-03,XAUUSD,Profit,929,Uptrend,,,
2019-12-12,XAUUSD,Profit,741,Uptrend,,,
2020-02-18,XAUUSD,Profit,1159,Uptrend,,,
2020-04-13,XAUUSD,Profit,1397,Uptrend,,,
2020-05-14,XAUUSD,Profit,1058,Uptrend,,,
2020-06-01,XAUUSD,Profit,719,Uptrend,,,
2020-07-22,XAUUSD,Profit,962,Uptrend,,,
2020-07-23,XAUUSD,Profit,873,Uptrend,,,
2020-11-05,XAUUSD,Profit,1123,Uptrend,,,
2020-12-02,XAUUSD,Profit,883,Uptrend,,,
2020-12-17,XAUUSD,Profit,1055,Uptrend,,,
2021-01-20,XAUUSD,Profit,1781,Uptrend,,,
2021-03-09,XAUUSD,Profit,849,Uptrend,,,
2021-05-17,XAUUSD,Profit,1648,Uptrend,,,
2021-06-23,XAUUSD,Profit,822,Uptrend,,,
2021-10-13,XAUUSD,Profit,2666,Uptrend,,,
2021-11-05,XAUUSD,Profit,822,Uptrend,,,
2022-12-02,XAUUSD,Profit,1138,Uptrend,,,
2022-12-09,XAUUSD,Profit,780,Uptrend,,,
2022-12-13,XAUUSD,Profit,3166,Uptrend,,,
2022-12-20,XAUUSD,Profit,977,Uptrend,,,
2022-12-27,XAUUSD,Profit,1802,Uptrend,,,
2023-01-13,XAUUSD,Profit,1019,Uptrend,,,
2023-03-10,XAUUSD,Profit,2363,Uptrend,,,
2023-03-17,XAUUSD,Profit,811,Uptrend,,,
2023-05-04,XAUUSD,Profit,1485,Uptrend,,,
2023-07-18,XAUUSD,Profit,1179,Uptrend,,,
2023-11-28,XAUUSD,Profit,893,Uptrend,,,
2023-12-19,XAUUSD,Profit,1064,Uptrend,,,
2024-03-04,XAUUSD,Profit,897,Uptrend,,,
2024-06-06,XAUUSD,Profit,1023,Uptrend,,,
2024-10-01,XAUUSD,Profit,1040,Uptrend,,,
2024-12-11,XAUUSD,Profit,913,Uptrend,,,
2024-12-26,XAUUSD,Profit,834,Uptrend,,,
2025-02-03,XAUUSD,Profit,1008,Uptrend,,,
2025-08-28,XAUUSD,Profit,760,Uptrend,,,
2025-08-29,XAUUSD,Profit,1422,Uptrend,,,
2025-09-22,XAUUSD,Profit,1640,Uptrend,,,
2025-09-23,XAUUSD,Profit,740,Uptrend,,,
2025-09-29,XAUUSD,Profit,717,Uptrend,,,
