YearMonth,NetPips
2015-01,-577
2015-02,-200
2015-03,151
2015-04,880
2015-05,-459
2015-06,498
2015-07,-46
2015-08,908
2015-09,-95
2015-10,-551
2015-11,-498
2015-12,1762
2016-01,-41
2016-02,4115
2016-03,-1609
2016-04,3
2016-05,-632
2016-06,-110
2016-07,1167
2016-08,-611
2016-09,521
2016-10,498
2016-11,-967
2016-12,1067
2017-01,1058
2017-02,216
2017-03,-609
2017-04,-411
2017-05,168
2017-06,-181
2017-07,99
2017-08,-818
2017-09,-67
2017-10,-446
2017-11,139
2017-12,164
2018-01,-501
2018-02,1366
2018-03,-191
2018-04,678
2018-05,-149
2018-06,-87
2018-07,-623
2018-08,119
2018-09,-804
2018-10,-73
2018-11,210
2018-12,-785
2019-01,1314
2019-02,257
2019-03,-159
2019-04,344
2019-05,801
2019-06,1154
2019-07,-1053
2019-08,-126
2019-09,1046
2019-10,677
2019-11,-544
2019-12,960
2020-01,347
2020-02,521
2020-03,-1155
2020-04,427
2020-05,774
2020-06,-106
2020-07,1133
2020-08,-1324
2020-09,-749
2020-10,-1291
2020-11,226
2020-12,240
2021-01,1154
2021-02,29
2021-03,290
2021-04,-513
2021-05,1491
2021-06,694
2021-07,-1563
2021-08,29
2021-09,-110
2021-10,3923
2021-11,-748
2021-12,-800
2022-01,-492
2022-02,-318
2022-03,123
2022-04,-872
2022-05,31
2022-06,-343
2022-07,-217
2022-08,-962
2022-09,-663
2022-10,-659
2022-11,164
2022-12,6590
2023-01,960
2023-02,-454
2023-03,2114
2023-04,-828
2023-05,915
2023-06,138
2023-07,1279
2023-08,1648
2023-09,-51
2023-10,496
2023-11,333
2023-12,979
2024-01,-382
2024-02,329
2024-03,282
2024-04,-215
2024-05,-405
2024-06,-879
2024-07,433
2024-08,-915
2024-09,-978
2024-10,673
2024-11,46
2024-12,1922
2025-01,153
2025-02,-917
2025-03,-33
2025-04,-862
2025-05,-946
2025-06,-230
2025-07,-756
2025-08,3330
2025-09,2580
2025-10,407
