Month,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
January,113.0,0.0,113.0,0.37168141592920356,2993.0,1.2745116023112906,26.486725663716815
February,116.0,0.0,116.0,0.39655172413793105,4944.0,1.51618291918981,42.62068965517241
March,121.0,1.0,120.0,0.31666666666666665,-796.0,0.9415994130594277,-6.578512396694215
April,98.0,0.0,98.0,0.3877551020408163,-1369.0,0.8756019990913221,-13.96938775510204
May,95.0,0.0,95.0,0.4105263157894737,1589.0,1.2032489127654131,16.726315789473684
June,75.0,1.0,74.0,0.43243243243243246,548.0,1.0739940588711856,7.306666666666667
July,114.0,1.0,113.0,0.30973451327433627,-147.0,0.9857984735774321,-1.2894736842105263
August,103.0,0.0,103.0,0.3592233009708738,1278.0,1.133125,12.407766990291263
September,100.0,0.0,100.0,0.34,630.0,1.0637716368053447,6.3
October,114.0,1.0,113.0,0.4247787610619469,3654.0,1.325929890286326,32.05263157894737
November,92.0,0.0,92.0,0.31521739130434784,-1639.0,0.8396438704627727,-17.815217391304348
December,128.0,0.0,128.0,0.375,12099.0,2.124442379182156,94.5234375
