Weekday,MonthNum,Month,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,1,January,13,8.0,0.0,8.0,0.5,313.0,1.810880829015544,39.125
Monday,1,January,14,3.0,0.0,3.0,0.3333333333333333,-565.0,0.02249134948096886,-188.33333333333334
Monday,1,January,15,5.0,0.0,5.0,0.4,-27.0,0.9148264984227129,-5.4
Tuesday,1,January,13,12.0,0.0,12.0,0.4166666666666667,729.0,1.7423625254582484,60.75
Tuesday,1,January,14,6.0,0.0,6.0,0.6666666666666666,1252.0,5.078175895765472,208.66666666666666
Tuesday,1,January,15,4.0,0.0,4.0,0.5,191.0,1.8232758620689655,47.75
Wednesday,1,January,13,10.0,0.0,10.0,0.4,1079.0,1.9014202172096908,107.9
Wednesday,1,January,14,7.0,0.0,7.0,0.0,-1265.0,0.0,-180.71428571428572
Wednesday,1,January,15,8.0,0.0,8.0,0.25,-231.0,0.6462480857580398,-28.875
Thursday,1,January,13,6.0,0.0,6.0,0.3333333333333333,319.0,1.60075329566855,53.166666666666664
Thursday,1,January,14,12.0,0.0,12.0,0.25,-1020.0,0.2225609756097561,-85.0
Thursday,1,January,15,3.0,0.0,3.0,0.3333333333333333,206.0,1.6058823529411765,68.66666666666667
Friday,1,January,13,13.0,0.0,13.0,0.38461538461538464,1468.0,1.8549796156086198,112.92307692307692
Friday,1,January,14,4.0,0.0,4.0,0.25,-266.0,0.5771065182829889,-66.5
Friday,1,January,15,12.0,0.0,12.0,0.5,810.0,2.772428884026258,67.5
Monday,2,February,13,13.0,0.0,13.0,0.5384615384615384,1425.0,3.5176678445229683,109.61538461538461
Monday,2,February,14,12.0,0.0,12.0,0.25,203.0,1.1579766536964982,16.916666666666668
Monday,2,February,15,10.0,0.0,10.0,0.5,-359.0,0.41435562805872755,-35.9
Tuesday,2,February,13,6.0,0.0,6.0,0.8333333333333334,557.0,11.314814814814815,92.83333333333333
Tuesday,2,February,14,6.0,0.0,6.0,0.6666666666666666,829.0,2.888382687927107,138.16666666666666
Tuesday,2,February,15,6.0,0.0,6.0,0.3333333333333333,792.0,2.537864077669903,132.0
Wednesday,2,February,13,7.0,0.0,7.0,0.2857142857142857,2028.0,3.1783029001074112,289.7142857142857
Wednesday,2,February,14,8.0,0.0,8.0,0.375,404.0,1.6579804560260587,50.5
Wednesday,2,February,15,6.0,0.0,6.0,0.5,-375.0,0.46808510638297873,-62.5
Thursday,2,February,13,12.0,0.0,12.0,0.25,-1132.0,0.2663642255346727,-94.33333333333333
Thursday,2,February,14,5.0,0.0,5.0,0.4,-330.0,0.3037974683544304,-66.0
Thursday,2,February,15,6.0,0.0,6.0,0.3333333333333333,1002.0,3.065979381443299,167.0
Friday,2,February,13,7.0,0.0,7.0,0.14285714285714285,-228.0,0.5906642728904847,-32.57142857142857
