YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2015-01,2.0,0.0,2.0,0.0,-269.0,0.0,-134.5
2015-10,2.0,1.0,1.0,0.0,-219.0,0.0,-109.5
2015-12,2.0,0.0,2.0,0.0,-208.0,0.0,-104.0
2016-01,2.0,0.0,2.0,0.5,-32.0,0.8620689655172413,-16.0
2016-02,4.0,0.0,4.0,0.5,1036.0,5.334728033472803,259.0
2016-12,1.0,0.0,1.0,1.0,394.0,inf,394.0
2017-01,4.0,0.0,4.0,0.5,1018.0,7.484076433121019,254.5
2017-02,1.0,0.0,1.0,1.0,71.0,inf,71.0
2017-12,2.0,0.0,2.0,0.0,-122.0,0.0,-61.0
2018-01,4.0,0.0,4.0,0.25,-273.0,0.09302325581395349,-68.25
2018-02,1.0,0.0,1.0,1.0,1813.0,inf,1813.0
2018-10,2.0,0.0,2.0,0.0,-220.0,0.0,-110.0
2018-12,2.0,0.0,2.0,0.0,-161.0,0.0,-80.5
2019-01,3.0,0.0,3.0,0.3333333333333333,43.0,1.1653846153846155,14.333333333333334
2019-02,1.0,0.0,1.0,1.0,92.0,inf,92.0
2019-10,1.0,0.0,1.0,0.0,-94.0,0.0,-94.0
2019-12,3.0,0.0,3.0,0.3333333333333333,-18.0,0.9130434782608695,-6.0
2020-01,1.0,0.0,1.0,1.0,222.0,inf,222.0
2020-02,1.0,0.0,1.0,0.0,-150.0,0.0,-150.0
2020-12,2.0,0.0,2.0,0.0,-246.0,0.0,-123.0
2021-01,2.0,0.0,2.0,0.5,1461.0,5.565625,730.5
2021-10,1.0,0.0,1.0,1.0,2666.0,inf,2666.0
2021-12,3.0,0.0,3.0,0.3333333333333333,-204.0,0.18725099601593626,-68.0
2022-02,1.0,0.0,1.0,1.0,281.0,inf,281.0
2022-10,1.0,0.0,1.0,0.0,-22.0,0.0,-22.0
2022-12,2.0,0.0,2.0,1.0,3246.0,inf,1623.0
2023-01,1.0,0.0,1.0,1.0,205.0,inf,205.0
2023-02,1.0,0.0,1.0,0.0,-227.0,0.0,-227.0
2023-10,3.0,0.0,3.0,0.3333333333333333,-184.0,0.31086142322097376,-61.333333333333336
2023-12,1.0,0.0,1.0,1.0,233.0,inf,233.0
2024-01,1.0,0.0,1.0,0.0,-364.0,0.0,-364.0
2024-02,2.0,0.0,2.0,0.5,-14.0,0.7307692307692307,-7.0
2024-10,2.0,0.0,2.0,0.5,970.0,14.857142857142858,485.0
2024-12,3.0,0.0,3.0,0.6666666666666666,631.0,3.7554585152838427,210.33333333333334
2025-01,2.0,0.0,2.0,0.5,-203.0,0.2644927536231884,-101.5
2025-02,1.0,0.0,1.0,0.0,-317.0,0.0,-317.0
