YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2015-01,4.0,0.0,4.0,0.25,-172.0,0.6090909090909091,-43.0
2015-10,2.0,1.0,1.0,0.0,-219.0,0.0,-109.5
2015-12,3.0,0.0,3.0,0.3333333333333333,1401.0,7.735576923076923,467.0
2016-01,2.0,0.0,2.0,0.5,-32.0,0.8620689655172413,-16.0
2016-02,5.0,0.0,5.0,0.4,880.0,3.2278481012658227,176.0
2016-12,2.0,0.0,2.0,1.0,533.0,inf,266.5
2017-01,4.0,0.0,4.0,0.5,1018.0,7.484076433121019,254.5
2017-02,3.0,0.0,3.0,0.3333333333333333,-5.0,0.9342105263157895,-1.6666666666666667
2017-12,3.0,0.0,3.0,0.3333333333333333,57.0,1.4672131147540983,19.0
2018-01,6.0,0.0,6.0,0.16666666666666666,-670.0,0.04011461318051576,-111.66666666666667
2018-02,2.0,0.0,2.0,0.5,1701.0,16.1875,850.5
2018-10,4.0,0.0,4.0,0.0,-411.0,0.0,-102.75
2018-12,4.0,0.0,4.0,0.0,-500.0,0.0,-125.0
2019-01,4.0,0.0,4.0,0.5,1284.0,5.938461538461539,321.0
2019-02,2.0,0.0,2.0,0.5,-18.0,0.8363636363636363,-9.0
2019-10,2.0,0.0,2.0,0.5,220.0,3.3404255319148937,110.0
2019-12,4.0,0.0,4.0,0.25,-130.0,0.5924764890282131,-32.5
2020-01,2.0,0.0,2.0,0.5,149.0,3.041095890410959,74.5
2020-02,3.0,0.0,3.0,0.3333333333333333,76.0,1.300395256916996,25.333333333333332
2020-10,1.0,0.0,1.0,0.0,-340.0,0.0,-340.0
2020-12,2.0,0.0,2.0,0.0,-246.0,0.0,-123.0
2021-01,4.0,0.0,4.0,0.5,1110.0,2.587982832618026,277.5
2021-10,2.0,0.0,2.0,1.0,2950.0,inf,1475.0
2021-12,4.0,0.0,4.0,0.5,14.0,1.0557768924302788,3.5
2022-02,1.0,0.0,1.0,1.0,281.0,inf,281.0
2022-10,1.0,0.0,1.0,0.0,-22.0,0.0,-22.0
2022-12,2.0,0.0,2.0,1.0,3246.0,inf,1623.0
2023-01,3.0,0.0,3.0,0.6666666666666666,1032.0,6.375,344.0
2023-02,1.0,0.0,1.0,0.0,-227.0,0.0,-227.0
2023-10,3.0,0.0,3.0,0.3333333333333333,-184.0,0.31086142322097376,-61.333333333333336
2023-12,2.0,0.0,2.0,0.5,-41.0,0.8503649635036497,-20.5
2024-01,3.0,0.0,3.0,0.3333333333333333,104.0,1.198095238095238,34.666666666666664
2024-02,2.0,0.0,2.0,0.5,-14.0,0.7307692307692307,-7.0
2024-10,2.0,0.0,2.0,0.5,970.0,14.857142857142858,485.0
2024-12,4.0,0.0,4.0,0.5,509.0,2.45014245014245,127.25
2025-01,3.0,0.0,3.0,0.3333333333333333,-547.0,0.11774193548387096,-182.33333333333334
2025-02,1.0,0.0,1.0,0.0,-317.0,0.0,-317.0
2025-10,1.0,0.0,1.0,1.0,250.0,inf,250.0
