Weekday,MonthNum,Month,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Tuesday,1,January,13,12.0,0.0,12.0,0.4166666666666667,729.0,1.7423625254582484,60.75
Wednesday,1,January,13,10.0,0.0,10.0,0.4,1079.0,1.9014202172096908,107.9
Friday,1,January,13,13.0,0.0,13.0,0.38461538461538464,1468.0,1.8549796156086198,112.92307692307692
Tuesday,2,February,13,6.0,0.0,6.0,0.8333333333333334,557.0,11.314814814814815,92.83333333333333
Wednesday,2,February,13,7.0,0.0,7.0,0.2857142857142857,2028.0,3.1783029001074112,289.7142857142857
Friday,2,February,13,7.0,0.0,7.0,0.14285714285714285,-228.0,0.5906642728904847,-32.57142857142857
Tuesday,10,October,13,7.0,1.0,6.0,0.3333333333333333,710.0,2.719128329297821,101.42857142857143
Wednesday,10,October,13,5.0,0.0,5.0,0.2,2187.0,5.565762004175365,437.4
Friday,10,October,13,6.0,0.0,6.0,0.5,317.0,1.5969868173258004,52.833333333333336
Tuesday,12,December,13,10.0,0.0,10.0,0.3,3318.0,6.5952782462057336,331.8
Wednesday,12,December,13,11.0,0.0,11.0,0.45454545454545453,227.0,1.273164861612515,20.636363636363637
Friday,12,December,13,9.0,0.0,9.0,0.4444444444444444,1298.0,2.5324675324675323,144.22222222222223
