entry_time,pips,final_stop,side,EntryTime,Date,Pip,__row,Hour,Weekday,MonthNum,Month,Outcome,__kind
2022-12-13 13:26,3165.764046690515,1819.937670466905,long,2022-12-13 13:26:00,2022-12-13,3166,1851,13,Tuesday,12,December,win,top_winner
2021-10-13 13:16,2666.069415989909,1792.020684159899,long,2021-10-13 13:16:00,2021-10-13,2666,1578,13,Wednesday,10,October,win,top_winner
2018-02-14 13:57,1812.8352227347928,1346.419352227348,long,2018-02-14 13:57:00,2018-02-14,1813,678,13,Wednesday,2,February,win,top_winner
2021-01-20 13:27,1780.6700991141042,1857.996640991141,long,2021-01-20 13:27:00,2021-01-20,1781,1416,13,Wednesday,1,January,win,top_winner
2015-12-04 13:59,1609.364984226545,1084.4326498422654,long,2015-12-04 13:59:00,2015-12-04,1609,151,13,Friday,12,December,win,top_winner
2019-01-25 13:16,1240.9383156095146,1296.594383156095,long,2019-01-25 13:16:00,2019-01-25,1241,904,13,Friday,1,January,win,top_winner
2016-02-24 13:24,1146.3699573022268,1249.7416995730223,long,2016-02-24 13:24:00,2016-02-24,1146,202,13,Wednesday,2,February,win,top_winner
2024-10-01 13:26,1040.1340419563894,2662.881320419564,long,2024-10-01 13:26:00,2024-10-01,1040,2271,13,Tuesday,10,October,win,top_winner
2023-01-13 13:22,1019.1254731385015,1907.901214731385,long,2023-01-13 13:22:00,2023-01-13,1019,1872,13,Friday,1,January,win,top_winner
2024-12-03 13:16,698.243877477671,2650.3823387747766,long,2024-12-03 13:16:00,2024-12-03,698,2318,13,Tuesday,12,December,win,top_winner
2021-01-29 13:16,-378.9790164009446,1865.5701998359905,long,2021-01-29 13:16:00,2021-01-29,-379,1420,13,Friday,1,January,loss,top_loser
2024-01-24 13:31,-363.551647236477,2032.5345235276352,long,2024-01-24 13:31:00,2024-01-24,-364,2128,13,Wednesday,1,January,loss,top_loser
2025-01-10 13:14,-344.0947473072356,2676.549042526928,long,2025-01-10 13:14:00,2025-01-10,-344,2339,13,Friday,1,January,loss,top_loser
2020-10-16 13:30,-340.2189316909244,1906.457800683091,long,2020-10-16 13:30:00,2020-10-16,-340,1349,13,Friday,10,October,loss,top_loser
2021-01-05 13:56,-320.2740363393559,1947.8473086366064,long,2021-01-05 13:56:00,2021-01-05,-320,1410,13,Tuesday,1,January,loss,top_loser
2025-02-19 13:10,-317.06473659528456,2937.629402634047,long,2025-02-19 13:10:00,2025-02-19,-317,2377,13,Wednesday,2,February,loss,top_loser
2018-01-05 13:33,-277.12705175320025,1319.207729482468,long,2018-01-05 13:33:00,2018-01-05,-277,645,13,Friday,1,January,loss,top_loser
2025-01-15 13:17,-276.1318036933062,2683.858801963067,long,2025-01-15 13:17:00,2025-01-15,-276,2340,13,Wednesday,1,January,loss,top_loser
2023-12-22 13:17,-273.66229875206045,2060.4833470124795,long,2023-12-22 13:17:00,2023-12-22,-274,2105,13,Friday,12,December,loss,top_loser
2016-01-05 13:08,-232.2324357957996,1079.509675642042,long,2016-01-05 13:08:00,2016-01-05,-232,157,13,Tuesday,1,January,loss,top_loser
