YearMonth,NetPips
2015-01,130
2015-02,408
2015-03,-87
2015-04,1059
2015-05,-927
2015-06,597
2015-07,-46
2015-08,585
2015-09,-198
2015-10,-898
2015-11,-463
2015-12,1866
2016-01,293
2016-02,3456
2016-03,-1761
2016-04,-797
2016-05,-693
2016-06,860
2016-07,1633
2016-08,-552
2016-09,1700
2016-10,726
2016-11,-709
2016-12,965
2017-01,1073
2017-02,71
2017-03,-989
2017-04,-660
2017-05,-878
2017-06,-530
2017-07,-537
2017-08,329
2017-09,-603
2017-10,-455
2017-11,-199
2017-12,-457
2018-01,-621
2018-02,2214
2018-03,-210
2018-04,1144
2018-05,51
2018-06,-95
2018-07,-594
2018-08,650
2018-09,-254
2018-10,-28
2018-11,663
2018-12,-1856
2019-01,2698
2019-02,163
2019-03,342
2019-04,159
2019-05,647
2019-06,1285
2019-07,-349
2019-08,547
2019-09,3967
2019-10,649
2019-11,164
2019-12,-751
2020-01,789
2020-02,265
2020-03,-907
2020-04,1477
2020-05,1100
2020-06,353
2020-07,1036
2020-08,-2200
2020-09,1144
2020-10,-717
2020-11,-826
2020-12,-559
2021-01,311
2021-02,857
2021-03,-955
2021-04,170
2021-05,-407
2021-06,940
2021-07,-1721
2021-08,-37
2021-09,-359
2021-10,4527
2021-11,1576
2021-12,-162
2022-01,-828
2022-02,-2537
2022-03,-1543
2022-04,-211
2022-05,631
2022-06,99
2022-07,-808
2022-08,-1043
2022-09,-925
2022-10,-2320
2022-11,1113
2022-12,7557
2023-01,2934
2023-02,281
2023-03,790
2023-04,1950
2023-05,1855
2023-06,546
2023-07,-268
2023-08,904
2023-09,-532
2023-10,-1108
2023-11,-801
2023-12,662
2024-01,14
2024-02,-781
2024-03,804
2024-04,-502
2024-05,-299
2024-06,-965
2024-07,-1439
2024-08,-1760
2024-09,-504
2024-10,4133
2024-11,-151
2024-12,3284
2025-01,12
2025-02,261
2025-03,545
2025-04,-862
2025-05,-1133
2025-06,-638
2025-07,2725
2025-08,2992
2025-09,236
2025-10,-537
