Weekday,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,13,205.0,2.0,203.0,0.33004926108374383,-4808.0,0.776673324353198,-23.453658536585365
Monday,14,142.0,0.0,142.0,0.36619718309859156,3678.0,1.276686978108779,25.901408450704224
Monday,15,163.0,0.0,163.0,0.3803680981595092,-1964.0,0.827945685501533,-12.049079754601227
Tuesday,13,175.0,1.0,174.0,0.3275862068965517,3226.0,1.1556949806949808,18.434285714285714
Tuesday,14,171.0,0.0,171.0,0.38011695906432746,3627.0,1.2003978120338141,21.210526315789473
Tuesday,15,156.0,0.0,156.0,0.3782051282051282,6136.0,1.4051502145922747,39.333333333333336
Wednesday,13,174.0,0.0,174.0,0.3620689655172414,7978.0,1.4695979751603978,45.85057471264368
Wednesday,14,167.0,0.0,167.0,0.33532934131736525,221.0,1.0125596726528756,1.3233532934131738
Wednesday,15,158.0,0.0,158.0,0.34177215189873417,-3569.0,0.7627467925280862,-22.588607594936708
Thursday,13,160.0,1.0,159.0,0.31446540880503143,1408.0,1.0773116626400177,8.8
Thursday,14,188.0,1.0,187.0,0.40641711229946526,3532.0,1.1906303972366148,18.78723404255319
Thursday,15,146.0,0.0,146.0,0.3904109589041096,175.0,1.014490353564627,1.1986301369863013
Friday,13,178.0,0.0,178.0,0.3707865168539326,12600.0,1.671785028790787,70.78651685393258
Friday,14,137.0,0.0,137.0,0.31386861313868614,-2875.0,0.8190116462071136,-20.985401459854014
Friday,15,165.0,0.0,165.0,0.3878787878787879,2202.0,1.152609328435789,13.345454545454546
Saturday,13,5.0,0.0,5.0,0.0,-142.0,0.0,-28.4
