YearMonth,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
2015-01,15.0,0.0,15.0,0.3333333333333333,130.0,1.0685292567211386,8.666666666666666
2015-02,8.0,0.0,8.0,0.25,408.0,1.9951219512195122,51.0
2015-03,16.0,0.0,16.0,0.375,-87.0,0.9319781078967944,-5.4375
2015-04,19.0,0.0,19.0,0.3157894736842105,1059.0,1.7364394993045897,55.73684210526316
2015-05,19.0,0.0,19.0,0.42105263157894735,-927.0,0.35847750865051903,-48.78947368421053
2015-06,11.0,0.0,11.0,0.5454545454545454,597.0,1.7855263157894736,54.27272727272727
2015-07,1.0,0.0,1.0,0.0,-46.0,0.0,-46.0
2015-08,16.0,0.0,16.0,0.375,585.0,1.4496541122213682,36.5625
2015-09,7.0,0.0,7.0,0.2857142857142857,-198.0,0.5991902834008097,-28.285714285714285
2015-10,26.0,1.0,25.0,0.2,-898.0,0.6861237329605033,-34.53846153846154
2015-11,9.0,0.0,9.0,0.1111111111111111,-463.0,0.3068862275449102,-51.44444444444444
2015-12,9.0,0.0,9.0,0.4444444444444444,1866.0,4.732,207.33333333333334
2016-01,18.0,0.0,18.0,0.4444444444444444,293.0,1.2362903225806452,16.27777777777778
2016-02,31.0,0.0,31.0,0.5161290322580645,3456.0,2.2088142707240292,111.48387096774194
2016-03,21.0,0.0,21.0,0.2857142857142857,-1761.0,0.3414360508601346,-83.85714285714286
2016-04,17.0,0.0,17.0,0.4117647058823529,-797.0,0.5840292275574113,-46.88235294117647
2016-05,8.0,0.0,8.0,0.375,-693.0,0.23594266813671444,-86.625
2016-06,15.0,0.0,15.0,0.5333333333333333,860.0,1.8531746031746033,57.333333333333336
2016-07,21.0,0.0,21.0,0.5714285714285714,1633.0,2.6595528455284554,77.76190476190476
2016-08,13.0,0.0,13.0,0.23076923076923078,-552.0,0.6515151515151515,-42.46153846153846
2016-09,22.0,0.0,22.0,0.4090909090909091,1700.0,2.544050862851953,77.27272727272727
2016-10,20.0,0.0,20.0,0.65,726.0,1.7642105263157895,36.3
2016-11,23.0,0.0,23.0,0.30434782608695654,-709.0,0.688077430708315,-30.82608695652174
2016-12,20.0,0.0,20.0,0.3,965.0,1.7360793287566743,48.25
2017-01,17.0,0.0,17.0,0.29411764705882354,1073.0,1.9054852320675106,63.11764705882353
2017-02,26.0,0.0,26.0,0.5,71.0,1.0662931839402428,2.730769230769231
2017-03,34.0,1.0,33.0,0.24242424242424243,-989.0,0.5727861771058316,-29.08823529411765
2017-04,15.0,0.0,15.0,0.26666666666666666,-660.0,0.3535749265426053,-44.0
2017-05,20.0,0.0,20.0,0.2,-878.0,0.3204334365325077,-43.9
2017-06,21.0,0.0,21.0,0.3333333333333333,-530.0,0.5023474178403756,-25.238095238095237
2017-07,24.0,1.0,23.0,0.30434782608695654,-537.0,0.5305944055944056,-22.375
2017-08,22.0,0.0,22.0,0.22727272727272727,329.0,1.1983122362869199,14.954545454545455
2017-09,15.0,0.0,15.0,0.4666666666666667,-603.0,0.2939110070257611,-40.2
2017-10,14.0,0.0,14.0,0.2857142857142857,-455.0,0.37327823691460055,-32.5
2017-11,19.0,0.0,19.0,0.15789473684210525,-199.0,0.8482074752097636,-10.473684210526315
2017-12,27.0,0.0,27.0,0.25925925925925924,-457.0,0.723030303030303,-16.925925925925927
2018-01,33.0,0.0,33.0,0.30303030303030304,-621.0,0.7590221187427241,-18.818181818181817
2018-02,23.0,0.0,23.0,0.21739130434782608,2214.0,2.3385731559854896,96.26086956521739
2018-03,22.0,0.0,22.0,0.2727272727272727,-210.0,0.882877858337981,-9.545454545454545
2018-04,15.0,0.0,15.0,0.3333333333333333,1144.0,2.189189189189189,76.26666666666667
2018-05,8.0,0.0,8.0,0.5,51.0,1.248780487804878,6.375
2018-06,7.0,0.0,7.0,0.14285714285714285,-95.0,0.6153846153846154,-13.571428571428571
2018-07,19.0,0.0,19.0,0.21052631578947367,-594.0,0.4266409266409266,-31.263157894736842
2018-08,12.0,0.0,12.0,0.5,650.0,2.9696969696969697,54.166666666666664
2018-09,22.0,0.0,22.0,0.2727272727272727,-254.0,0.842529448233106,-11.545454545454545
2018-10,26.0,0.0,26.0,0.3076923076923077,-28.0,0.9861864824864331,-1.0769230769230769
2018-11,24.0,0.0,24.0,0.4583333333333333,663.0,1.5497512437810945,27.625
2018-12,34.0,0.0,34.0,0.20588235294117646,-1856.0,0.30952380952380953,-54.588235294117645
2019-01,29.0,0.0,29.0,0.4482758620689655,2698.0,2.5514663599769984,93.03448275862068
2019-02,22.0,0.0,22.0,0.3181818181818182,163.0,1.139674378748929,7.409090909090909
2019-03,23.0,0.0,23.0,0.34782608695652173,342.0,1.3762376237623761,14.869565217391305
2019-04,14.0,0.0,14.0,0.35714285714285715,159.0,1.2317784256559767,11.357142857142858
2019-05,23.0,0.0,23.0,0.5652173913043478,647.0,1.9177304964539008,28.130434782608695
2019-06,22.0,1.0,21.0,0.38095238095238093,1285.0,1.8624161073825503,58.40909090909091
2019-07,18.0,0.0,18.0,0.2777777777777778,-349.0,0.7581427581427581,-19.38888888888889
2019-08,21.0,0.0,21.0,0.3333333333333333,547.0,1.2127576818358616,26.047619047619047
2019-09,25.0,0.0,25.0,0.48,3967.0,2.761545293072824,158.68
2019-10,20.0,0.0,20.0,0.35,649.0,1.3529091897770527,32.45
2019-11,10.0,0.0,10.0,0.3,164.0,1.2216216216216216,16.4
2019-12,34.0,0.0,34.0,0.2647058823529412,-751.0,0.7354702359985911,-22.08823529411765
2020-01,22.0,0.0,22.0,0.45454545454545453,789.0,1.494360902255639,35.86363636363637
2020-02,24.0,0.0,24.0,0.3333333333333333,265.0,1.1307996051332676,11.041666666666666
2020-03,13.0,0.0,13.0,0.23076923076923078,-907.0,0.42449238578680204,-69.76923076923077
2020-04,24.0,0.0,24.0,0.3333333333333333,1477.0,1.4186507936507937,61.541666666666664
2020-05,25.0,0.0,25.0,0.44,1100.0,1.5978260869565217,44.0
2020-06,28.0,0.0,28.0,0.39285714285714285,353.0,1.1014659384880714,12.607142857142858
2020-07,30.0,0.0,30.0,0.36666666666666664,1036.0,1.3485868102288021,34.53333333333333
2020-08,9.0,0.0,9.0,0.1111111111111111,-2200.0,0.02265659706796979,-244.44444444444446
