YearMonth,NetPips
2015-01,707
2015-02,608
2015-03,-238
2015-04,179
2015-05,-468
2015-06,99
2015-08,-323
2015-09,-103
2015-10,-347
2015-11,35
2015-12,104
2016-01,334
2016-02,-659
2016-03,-152
2016-04,-800
2016-05,-61
2016-06,970
2016-07,466
2016-08,59
2016-09,1179
2016-10,228
2016-11,258
2016-12,-102
2017-01,15
2017-02,-145
2017-03,-380
2017-04,-249
2017-05,-1046
2017-06,-349
2017-07,-636
2017-08,1147
2017-09,-536
2017-10,-9
2017-11,-338
2017-12,-621
2018-01,-120
2018-02,848
2018-03,-19
2018-04,466
2018-05,200
2018-06,-8
2018-07,29
2018-08,531
2018-09,550
2018-10,45
2018-11,453
2018-12,-1071
2019-01,1384
2019-02,-94
2019-03,501
2019-04,-185
2019-05,-154
2019-06,131
2019-07,704
2019-08,673
2019-09,2921
2019-10,-28
2019-11,708
2019-12,-1711
2020-01,442
2020-02,-256
2020-03,248
2020-04,1050
2020-05,326
2020-06,459
2020-07,-97
2020-08,-876
2020-09,1893
2020-10,574
2020-11,-1052
2020-12,-799
2021-01,-843
2021-02,828
2021-03,-1245
2021-04,683
2021-05,-1898
2021-06,246
2021-07,-158
2021-08,-66
2021-09,-249
2021-10,604
2021-11,2324
2021-12,638
2022-01,-336
2022-02,-2219
2022-03,-1666
2022-04,661
2022-05,600
2022-06,442
2022-07,-591
2022-08,-81
2022-09,-262
2022-10,-1661
2022-11,949
2022-12,967
2023-01,1974
2023-02,735
2023-03,-1324
2023-04,2778
2023-05,940
2023-06,408
2023-07,-1547
2023-08,-744
2023-09,-481
2023-10,-1604
2023-11,-1134
2023-12,-317
2024-01,396
2024-02,-1110
2024-03,522
2024-04,-287
2024-05,106
2024-06,-86
2024-07,-1872
2024-08,-845
2024-09,474
2024-10,3460
2024-11,-197
2024-12,1362
2025-01,-141
2025-02,1178
2025-03,578
2025-05,-187
2025-06,-408
2025-07,3481
2025-08,-338
2025-09,-2344
2025-10,-944
