Month,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
January,123.0,0.0,123.0,0.3902439024390244,3812.0,1.2811002138485363,30.991869918699187
February,104.0,0.0,104.0,0.3076923076923077,-286.0,0.9744574439582031,-2.75
March,102.0,0.0,102.0,0.3333333333333333,-3175.0,0.6929103394912467,-31.127450980392158
April,78.0,0.0,78.0,0.32051282051282054,4296.0,1.5543941153697252,55.07692307692308
May,89.0,0.0,89.0,0.3707865168539326,-1642.0,0.7914126016260162,-18.44943820224719
June,71.0,0.0,71.0,0.3380281690140845,1904.0,1.2971285892634208,26.816901408450704
July,111.0,1.0,110.0,0.32727272727272727,-221.0,0.9795616387681495,-1.990990990990991
August,89.0,0.0,89.0,0.33707865168539325,-863.0,0.9100010428616123,-9.696629213483146
September,113.0,0.0,113.0,0.39823008849557523,3042.0,1.2642001042209483,26.920353982300885
October,126.0,0.0,126.0,0.35714285714285715,318.0,1.0213422818791946,2.5238095238095237
November,97.0,0.0,97.0,0.38144329896907214,2006.0,1.2113358617783396,20.68041237113402
December,118.0,0.0,118.0,0.3050847457627119,-1550.0,0.8714972641353009,-13.135593220338983
