Weekday,MonthNum,Month,Hour,total_trades,breakevens,evaluated_trades,win_rate,net_pips,profit_factor,avg_pips
Monday,1,January,13,10.0,0.0,10.0,0.5,1518.0,2.660831509846827,151.8
Monday,1,January,14,9.0,0.0,9.0,0.4444444444444444,1586.0,4.388888888888889,176.22222222222223
Monday,1,January,15,6.0,0.0,6.0,0.5,-238.0,0.5230460921843687,-39.666666666666664
Tuesday,1,January,13,6.0,0.0,6.0,0.0,-639.0,0.0,-106.5
Tuesday,1,January,14,10.0,0.0,10.0,0.4,-311.0,0.681025641025641,-31.1
Tuesday,1,January,15,9.0,0.0,9.0,0.5555555555555556,1828.0,2.971952535059331,203.11111111111111
Wednesday,1,January,13,10.0,0.0,10.0,0.4,-6.0,0.9939698492462311,-0.6
Wednesday,1,January,14,7.0,0.0,7.0,0.5714285714285714,1838.0,3.5997171145685996,262.57142857142856
Wednesday,1,January,15,4.0,0.0,4.0,0.25,-341.0,0.16216216216216217,-85.25
Thursday,1,January,13,3.0,0.0,3.0,0.3333333333333333,-260.0,0.27977839335180055,-86.66666666666667
Thursday,1,January,14,12.0,0.0,12.0,0.5,409.0,1.2858141160027952,34.083333333333336
Thursday,1,January,15,8.0,0.0,8.0,0.5,52.0,1.0752532561505066,6.5
Friday,1,January,13,11.0,0.0,11.0,0.2727272727272727,121.0,1.0994248151191455,11.0
Friday,1,January,14,6.0,0.0,6.0,0.16666666666666666,-1102.0,0.3349426674713337,-183.66666666666666
Friday,1,January,15,12.0,0.0,12.0,0.25,-643.0,0.6156604901374776,-53.583333333333336
Monday,2,February,13,14.0,0.0,14.0,0.21428571428571427,-1001.0,0.3436065573770492,-71.5
Monday,2,February,14,8.0,0.0,8.0,0.25,-827.0,0.07597765363128492,-103.375
Monday,2,February,15,5.0,0.0,5.0,0.4,8.0,1.043010752688172,1.6
Tuesday,2,February,13,5.0,0.0,5.0,0.0,-832.0,0.0,-166.4
Tuesday,2,February,14,7.0,0.0,7.0,0.2857142857142857,-339.0,0.5574412532637075,-48.42857142857143
Tuesday,2,February,15,1.0,0.0,1.0,1.0,519.0,inf,519.0
Wednesday,2,February,13,10.0,0.0,10.0,0.3,773.0,1.7706879361914256,77.3
Wednesday,2,February,14,5.0,0.0,5.0,0.4,-458.0,0.11923076923076924,-91.6
Wednesday,2,February,15,9.0,0.0,9.0,0.3333333333333333,-990.0,0.35714285714285715,-110.0
Thursday,2,February,13,9.0,0.0,9.0,0.2222222222222222,60.0,1.0691244239631337,6.666666666666667
Thursday,2,February,14,4.0,0.0,4.0,0.75,2490.0,312.25,622.5
Thursday,2,February,15,4.0,0.0,4.0,0.25,-201.0,0.06944444444444445,-50.25
Friday,2,February,13,5.0,0.0,5.0,0.4,1239.0,5.605947955390334,247.8
Friday,2,February,14,9.0,0.0,9.0,0.3333333333333333,-181.0,0.871994342291372,-20.11111111111111
Friday,2,February,15,9.0,0.0,9.0,0.3333333333333333,-546.0,0.5272727272727272,-60.666666666666664
Monday,3,March,13,9.0,0.0,9.0,0.4444444444444444,55.0,1.0951557093425606,6.111111111111111
Monday,3,March,14,4.0,0.0,4.0,0.5,133.0,1.4222222222222223,33.25
Monday,3,March,15,8.0,0.0,8.0,0.125,-628.0,0.2919954904171364,-78.5
Tuesday,3,March,13,5.0,0.0,5.0,0.2,-542.0,0.09515859766277128,-108.4
