feature,mutual_info,corr,auc,is_secondary
sec_is_london,0.026807045748965974,,0.5,True
sec_is_asia,0.02004668722235592,,0.5,True
sec_is_off,0.018935515123129854,,0.5,True
sec_asia_range_atr,0.015240854153395933,,0.5,True
sec_entry_below_asia_low,0.008045336412358273,,0.5,True
tf_30m_up,0.005297623346055325,0.028301011442922304,0.5073274777999188,False
sec_london_open_range_atr,0.0033709556675951546,,0.5,True
hour,0.0033609233004294747,-0.02191949701666077,0.4875650525256825,False
tf_5m_up,0.003024323000725637,-0.12121349797133955,0.45166282961558546,False
close,0.001802741214748771,0.007342091696963477,0.4886726382789375,False
sec_entry_above_asia_high,0.0016959503143856303,,0.5,True
lower_wick_pct,0.001672567728697727,0.006190876891549154,0.5157867244481418,False
open,0.00121171186873692,0.017369376196038726,0.5364777805722687,False
sec_asia_range,0.0007667190145037583,,0.5,True
dow,0.00015162752861663797,-0.05426271531993959,0.46897792567083907,False
up_count,0.0,-0.07256459361954087,0.45192884366112707,False
atr14,0.0,,0.5,False
ema_dist,0.0,0.0073333665778491175,0.4886726382789375,False
ema_dist_atr,0.0,,0.5,False
ema200,0.0,0.007713047604472967,0.509663564781675,False
range,0.0,0.03454991028050586,0.5213101433573875,False
body_pct,0.0,-0.0073026335285243625,0.4929288630076032,False
upper_wick_pct,0.0,0.007057364383119714,0.507225908800712,False
high,0.0,0.02267947980454231,0.509663564781675,False
low,0.0,-0.0017396278568705486,0.4846485712627445,False
tf_1m_up,0.0,-0.0542481229173235,0.4739402967749424,False
tf_15m_up,0.0,,0.5,False
sec_london_open_range,0.0,,0.5,True
tf_1h_up,0.0,-0.0036065754421877186,0.4986554199152624,False
sec_is_ny_late,0.0,,0.5,True
sec_is_overlap,0.0,,0.5,True
