name,count,win_rate,avg_pips,total_pips,profit_factor,largest_win,largest_loss,split,filter
train_baseline,1743,34.94,9.13,15920.58,1.103,2690.87,-517.86,train,baseline
train_has_news,1186,33.39,1.47,1743.81,1.016,2690.87,-517.86,train,has_news
train_strong_bullish,0,0.0,0.0,0.0,0.0,0.0,0.0,train,strong_bullish
train_strong_bearish,4,50.0,-73.59,-294.37,0.21,75.06,-365.6,train,strong_bearish
train_strong_directional,4,50.0,-73.59,-294.37,0.21,75.06,-365.6,train,strong_directional
train_moderate_bullish,114,30.7,-7.17,-817.49,0.936,2666.07,-516.02,train,moderate_bullish
train_moderate_bearish,199,37.69,35.43,7050.36,1.455,2690.87,-459.42,train,moderate_bearish
train_moderate_directional,313,35.14,19.91,6232.87,1.22,2690.87,-516.02,train,moderate_directional
train_high_coverage,1186,33.39,1.47,1743.81,1.016,2690.87,-517.86,train,high_coverage
train_very_high_coverage,1186,33.39,1.47,1743.81,1.016,2690.87,-517.86,train,very_high_coverage
train_gold_focused,1169,33.28,0.33,388.37,1.004,2666.07,-517.86,train,gold_focused
val_baseline,373,38.07,26.56,9908.1,1.232,3165.76,-515.38,val,baseline
val_has_news,367,37.87,26.66,9784.04,1.233,3165.76,-515.38,val,has_news
val_strong_bullish,0,0.0,0.0,0.0,0.0,0.0,0.0,val,strong_bullish
val_strong_bearish,2,50.0,147.41,294.82,1.8,663.36,-368.54,val,strong_bearish
val_strong_directional,2,50.0,147.41,294.82,1.8,663.36,-368.54,val,strong_directional
val_moderate_bullish,16,37.5,-58.82,-941.12,0.582,501.38,-380.06,val,moderate_bullish
val_moderate_bearish,73,36.99,41.72,3045.33,1.419,3165.76,-368.54,val,moderate_bearish
val_moderate_directional,89,37.08,23.64,2104.21,1.221,3165.76,-380.06,val,moderate_directional
val_high_coverage,367,37.87,26.66,9784.04,1.233,3165.76,-515.38,val,high_coverage
val_very_high_coverage,367,37.87,26.66,9784.04,1.233,3165.76,-515.38,val,very_high_coverage
val_gold_focused,339,38.64,22.77,7720.58,1.201,3165.76,-515.38,val,gold_focused
test_baseline,374,37.97,14.94,5586.67,1.11,1929.13,-503.22,test,baseline
test_has_news,371,38.01,14.72,5461.82,1.109,1929.13,-503.22,test,has_news
test_strong_bullish,0,0.0,0.0,0.0,0.0,0.0,0.0,test,strong_bullish
test_strong_bearish,0,0.0,0.0,0.0,0.0,0.0,0.0,test,strong_bearish
test_strong_directional,0,0.0,0.0,0.0,0.0,0.0,0.0,test,strong_directional
test_moderate_bullish,12,33.33,-68.2,-818.36,0.335,287.31,-286.19,test,moderate_bullish
test_moderate_bearish,42,35.71,-41.44,-1740.62,0.719,1040.13,-460.12,test,moderate_bearish
test_moderate_directional,54,35.19,-47.39,-2558.98,0.656,1040.13,-460.12,test,moderate_directional
test_high_coverage,371,38.01,14.72,5461.82,1.109,1929.13,-503.22,test,high_coverage
test_very_high_coverage,371,38.01,14.72,5461.82,1.109,1929.13,-503.22,test,very_high_coverage
test_gold_focused,359,37.88,12.35,4432.06,1.091,1929.13,-503.22,test,gold_focused
